User ID: 19372-45052

Trial                  Virus                             Units
---------------------------------------------------------------
001                  LWR-78574                              4
002                  YXL-38878                            139
003                  TLT-23593                            175
004                  TNA-63396                            133
005                  LWR-78574                            167
006                  ZXB-54692                             88
007                  FYK-67999                            105
008                  NMA-58554                            107
009                  TXF-47848                            118
010                  HCY-32686                            176
011                  VWM-74278                             41
012                  FYK-67999                             81
013                  TNG-52497                             29
014                  PWT-38779                             84
015                  YLW-92835                             56
016                  RLT-57887                             55
017                  SZA-87265                            114
018                  ZXB-54692                             20
019                  WMD-65834                            181
020                  GBK-45859                             92
021                  HNB-76282                            147
022                  FNR-28782                            183
023                  XKG-42573                            193
024                  CDC-36833                             13
025                  SPN-64546                             60
026                  HZF-45469                            120
027                  QBD-79865                            174
028                  XRT-73276                             66
029                  BTN-83953                              3
030                  XRT-73276                            126
031                  NVE-67597                            138
032                  TLT-23593                            199
033                  JVL-65247                             49
034                  CCG-95482                            186
035                  FTD-84699                              1
036                  YXL-38878                             65
037                  PWT-38779                            154
038                  LZL-53762                             35
039                  HCY-32686                              8
040                  PNF-53949                             26
041                  TXF-47848                            165
042                  TXF-47848                            151
043                  VWM-74278                             21
044                  TLT-23593                            166
045                  PNF-53949                            130
046                  FYK-67999                             18
047                  JYL-79355                              5
048                  CQS-93978                             24
049                  PNF-53949                             75
050                  WQB-83823                             77
051                  YMA-56284                            102
052                  CQS-93978                            172
053                  RGZ-73449                             34
054                  YXL-38878                             15
055                  TLT-23593                             23
056                  PQJ-67335                            152
057                  CCG-95482                             37
058                  JPJ-26459                            123
059                  EFG-46945                            194
060                  TRM-27792                            132
061                  VJN-37687                            150
062                  ZHA-83572                            146
063                  EPX-87469                              9
064                  EFG-46945                             39
065                  LZL-53762                            158
066                  ZPF-96697                            135
067                  KQA-89952                             80
068                  AJA-56777                            184
069                  KLA-57296                             98
070                  QBD-79865                            110
071                  XKG-42573                             43
072                  GZN-34688                             36
073                  PWT-38779                            156
074                  KLA-57296                             40
075                  YLW-92835                            189
076                  KLA-57296                             96
077                  URL-32968                             76
078                  AAV-93236                             48
079                  QBD-79865                            144
080                  NHP-43928                             72
081                  TQC-49936                             93
082                  JVL-65247                            164
083                  SZA-87265                             16
084                  VXR-68924                            171
085                  YXL-38878                             11
086                  ZPF-96697                             50
087                  VJN-37687                             51
088                  GMS-89977                            160
089                  KLA-57296                            122
090                  SZA-87265                             14
091                  ZKV-31415                             83
092                  PZV-75529                             42
093                  DAU-26394                            168
094                  LNC-68448                             70
095                  TNA-63396                            108
096                  PZV-75529                            104
097                  PNF-53949                             28
098                  TLT-23593                             12
099                  BTN-83953                            188
100                  SZA-87265                             69
