User ID: 44845-88216

Trial                  Virus                             Units
---------------------------------------------------------------
001                  TNX-51117                             22
002                  KWH-94256                            103
003                  ANR-65636                            120
004                  LZL-53762                            125
005                  LZL-53762                             45
006                  NVE-67597                             59
007                  WMD-65834                            133
008                  XBC-95594                            121
009                  BTN-83953                             94
010                  JYL-79355                            181
011                  PNF-53949                            126
012                  YLW-92835                            166
013                  BTN-83953                             99
014                  URL-32968                             38
015                  QBZ-39849                            156
016                  WQB-83823                            165
017                  ZHA-83572                             65
018                  FNR-28782                            107
019                  JYL-79355                            188
020                  CDC-36833                            198
021                  QBZ-39849                             35
022                  LWR-78574                            100
023                  CPU-63784                            140
024                  KMP-52243                            102
025                  TXF-47848                             60
026                  GBK-45859                            177
027                  TXF-47848                            148
028                  CDC-36833                            193
029                  AAV-93236                             62
030                  FNL-93857                            134
031                  KLA-57296                            180
032                  TNX-51117                             12
033                  VWM-74278                             50
034                  BCU-27839                            109
035                  CDC-36833                             41
036                  NMA-58554                            150
037                  URL-32968                             24
038                  BTG-65524                            199
039                  BMN-57337                             71
040                  PNF-53949                            113
041                  NWL-28282                            186
042                  TXF-47848                            127
043                  CQS-93978                             61
044                  HCY-32686                            197
045                  BMN-57337                            196
046                  KDV-97563                             18
047                  ANR-65636                            195
048                  DAU-26394                             66
049                  YMA-56284                            191
050                  FYK-67999                             56
051                  PZV-75529                            170
052                  TQC-49936                            149
053                  AJA-56777                             91
054                  TRM-27792                            158
055                  GMS-89977                             70
056                  XBC-95594                            135
057                  NWL-28282                             84
058                  XKG-42573                             20
059                  GUJ-74444                            178
060                  AJA-56777                            128
061                  BTN-83953                             21
062                  URL-32968                            176
063                  WQB-83823                             89
064                  TLT-23593                             77
065                  VWM-74278                             43
066                  YLW-92835                             72
067                  TLT-23593                             33
068                  HZF-45469                              5
069                  HVE-32966                             40
070                  HKZ-33728                             81
071                  CCG-95482                            147
072                  DAU-26394                              1
073                  WQM-46249                            143
074                  SZA-87265                            183
075                  YBD-67688                              9
076                  XKG-42573                             76
077                  HVE-32966                             25
078                  FNR-28782                             26
079                  WQB-83823                             27
080                  TLT-23593                            124
081                  HVE-32966                            164
082                  XBC-95594                             11
083                  GZN-34688                             53
084                  JYL-79355                            182
085                  DAU-26394                            117
086                  CPU-63784                             69
087                  TRM-27792                             95
088                  GZN-34688                             67
089                  VXR-68924                            137
090                  KMP-52243                             34
091                  KMP-52243                             37
092                  HKZ-33728                            115
093                  QBZ-39849                             19
094                  VXR-68924                            162
095                  ZPF-96697                             30
096                  GMS-89977                            119
097                  XKG-42573                            122
098                  KDV-97563                             14
099                  LZL-53762                             74
100                  ZKV-31415                            172
