User ID: 95100-67620

Trial                  Virus                             Units
---------------------------------------------------------------
001                  WQM-46249                             66
002                  KWH-94256                            108
003                  HVX-35287                              4
004                  PNF-53949                             57
005                  NXD-76943                             60
006                  EPX-87469                            169
007                  XKG-42573                             44
008                  TXF-47848                             24
009                  CPU-63784                             17
010                  YLW-92835                             74
011                  GMS-89977                            143
012                  PZV-75529                            185
013                  KMP-52243                            173
014                  PWT-38779                            142
015                  EPX-87469                            191
016                  TLT-23593                             27
017                  JVL-65247                             87
018                  PZV-75529                            120
019                  HVE-32966                            164
020                  YMA-56284                            149
021                  LZL-53762                            161
022                  NVE-67597                            172
023                  SPN-64546                             97
024                  XKG-42573                            188
025                  TLT-23593                            123
026                  BTN-83953                             61
027                  ZKV-31415                             62
028                  TQC-49936                            168
029                  YMA-56284                             69
030                  XJQ-35789                             47
031                  TNG-52497                            107
032                  EPX-87469                            167
033                  LWR-78574                            136
034                  PZV-75529                             54
035                  AAV-93236                             65
036                  HVX-35287                            100
037                  CCG-95482                             49
038                  XJQ-35789                            106
039                  AJA-56777                            178
040                  XKG-42573                            151
041                  RGZ-73449                            122
042                  RLT-57887                            152
043                  TRM-27792                             79
044                  QBD-79865                              7
045                  DAU-26394                             63
046                  ZHA-83572                            194
047                  KQA-89952                             38
048                  CPU-63784                             11
049                  HVX-35287                            171
050                  FNL-93857                             92
051                  WQM-46249                            157
052                  VXR-68924                            109
053                  YBD-67688                             51
054                  ZHA-83572                            198
055                  HKZ-33728                            128
056                  HVE-32966                            187
057                  KWH-94256                            105
058                  YXL-38878                             52
059                  CDC-36833                            110
060                  ZKV-31415                             78
061                  KDV-97563                             70
062                  TNG-52497                             42
063                  RLT-57887                             67
064                  NXD-76943                            195
065                  PQJ-67335                            170
066                  FYK-67999                            181
067                  GZN-34688                            126
068                  NXD-76943                             35
069                  FTD-84699                            176
070                  PHE-99329                            190
071                  HKZ-33728                            124
072                  RLT-57887                             99
073                  YXL-38878                             81
074                  HNB-76282                             46
075                  ZHA-83572                            199
076                  TNX-51117                             19
077                  GBK-45859                             91
078                  AJA-56777                            154
079                  QBD-79865                             89
080                  NWL-28282                             86
081                  TRM-27792                             93
082                  GUJ-74444                            163
083                  BMN-57337                            156
084                  CQS-93978                             55
085                  YMA-56284                            193
086                  CCG-95482                            125
087                  KDV-97563                            162
088                  ANR-65636                            189
089                  KDV-97563                             12
090                  HVX-35287                             15
091                  ZXB-54692                             26
092                  AAV-93236                             77
093                  BCU-27839                             43
094                  JPJ-26459                             56
095                  EFG-46945                            160
096                  HKZ-33728                             68
097                  HVE-32966                             83
098                  KLA-57296                              1
099                  WMD-65834                            196
100                  HNB-76282                            104
