User ID: 80997-59183

Trial                  Virus                             Units
---------------------------------------------------------------
001                  VJN-37687                            130
002                  URL-32968                             12
003                  QBZ-39849                            191
004                  PQJ-67335                             38
005                  URL-32968                             21
006                  CCG-95482                             52
007                  JPJ-26459                              7
008                  HZF-45469                             26
009                  EPX-87469                            146
010                  YBD-67688                            158
011                  BTG-65524                             23
012                  NMA-58554                            128
013                  URL-32968                            176
014                  VWM-74278                             22
015                  GUJ-74444                            134
016                  KQA-89952                            163
017                  KWH-94256                             63
018                  VWM-74278                            198
019                  CCG-95482                              4
020                  EFG-46945                             40
021                  PZV-75529                            184
022                  NHP-43928                             43
023                  RLT-57887                             68
024                  XBC-95594                            101
025                  AAV-93236                              3
026                  YLW-92835                            109
027                  HZF-45469                            171
028                  NMA-58554                            180
029                  NVE-67597                            152
030                  KQA-89952                            185
031                  TNA-63396                            199
032                  DHY-22445                             94
033                  JYL-79355                            159
034                  DHY-22445                            111
035                  TQC-49936                            160
036                  QBZ-39849                             91
037                  VWM-74278                            120
038                  HCY-32686                            153
039                  KLA-57296                            129
040                  BTN-83953                            125
041                  EFG-46945                              1
042                  YMA-56284                            108
043                  WBB-69295                             53
044                  PZV-75529                            169
045                  KLA-57296                             27
046                  KDV-97563                             36
047                  GZN-34688                            200
048                  BCU-27839                             76
049                  TXF-47848                            139
050                  TNX-51117                             62
051                  NWL-28282                            135
052                  PWT-38779                            154
053                  SZA-87265                            156
054                  JPJ-26459                             25
055                  URL-32968                             86
056                  EPX-87469                            102
057                  WMD-65834                            165
058                  TNA-63396                            105
059                  PZV-75529                            150
060                  FYK-67999                              5
061                  XBC-95594                            110
062                  LZL-53762                             41
063                  JVL-65247                             96
064                  TQC-49936                             33
065                  WMD-65834                             95
066                  AJA-56777                             98
067                  BTG-65524                            173
068                  YXL-38878                            106
069                  FYK-67999                             51
070                  KMP-52243                            141
071                  GUJ-74444                             48
072                  JVL-65247                            188
073                  KWH-94256                            143
074                  HVE-32966                             54
075                  BTG-65524                             79
076                  AJA-56777                             15
077                  CPU-63784                             20
078                  XRT-73276                             90
079                  XBC-95594                             59
080                  CDC-36833                              6
081                  FTD-84699                            126
082                  QBZ-39849                             37
083                  HVE-32966                            161
084                  SPN-64546                             10
085                  EPX-87469                             55
086                  YXL-38878                              9
087                  TRM-27792                            155
088                  GUJ-74444                             75
089                  HNB-76282                            117
090                  PZV-75529                             84
091                  YLW-92835                             47
092                  TNG-52497                             50
093                  VWM-74278                              8
094                  YXL-38878                            145
095                  HNB-76282                            157
096                  SPN-64546                             30
097                  SPN-64546                            137
098                  NWL-28282                             31
099                  TNX-51117                             28
100                  HNB-76282                             14
