User ID: 63017-50438

Trial                  Virus                             Units
---------------------------------------------------------------
001                  RGZ-73449                             81
002                  FNL-93857                             85
003                  TNG-52497                             61
004                  TNA-63396                             76
005                  XKG-42573                             16
006                  EFG-46945                             11
007                  AAV-93236                             19
008                  TNX-51117                             33
009                  HCY-32686                            115
010                  ZHA-83572                            172
011                  ZPF-96697                            166
012                  CDC-36833                             54
013                  KMP-52243                            175
014                  WQM-46249                             14
015                  CPU-63784                            182
016                  NWL-28282                            121
017                  HNB-76282                            146
018                  GUJ-74444                              7
019                  CQS-93978                             82
020                  GBK-45859                             29
021                  GMS-89977                            198
022                  JVL-65247                            161
023                  XKG-42573                             53
024                  ZPF-96697                             93
025                  JPJ-26459                             89
026                  YBD-67688                            173
027                  CDC-36833                            108
028                  HNB-76282                            112
029                  LWR-78574                            137
030                  PZV-75529                            153
031                  QBZ-39849                            143
032                  JPJ-26459                             77
033                  LZL-53762                            200
034                  GBK-45859                            168
035                  DAU-26394                             97
036                  LWR-78574                            136
037                  AAV-93236                            191
038                  HVX-35287                            163
039                  KDV-97563                             55
040                  HKZ-33728                            139
041                  ZHA-83572                            129
042                  NMA-58554                              3
043                  XJQ-35789                            154
044                  WQB-83823                            109
045                  HVX-35287                            113
046                  DHY-22445                             32
047                  PHE-99329                             92
048                  NXD-76943                            167
049                  GMS-89977                            122
050                  KDV-97563                            102
051                  BCU-27839                            170
052                  ZHA-83572                            111
053                  LWR-78574                            119
054                  JYL-79355                            176
055                  URL-32968                            103
056                  PNF-53949                            116
057                  SPN-64546                            188
058                  JVL-65247                            152
059                  BTN-83953                              9
060                  PWT-38779                            157
061                  PZV-75529                            127
062                  NHP-43928                            171
063                  GUJ-74444                             49
064                  TXF-47848                            120
065                  URL-32968                            114
066                  NXD-76943                            134
067                  VXR-68924                             28
068                  JYL-79355                            110
069                  NXD-76943                             67
070                  VWM-74278                             69
071                  NVE-67597                             45
072                  NVE-67597                            187
073                  DHY-22445                            193
074                  HKZ-33728                            165
075                  YBD-67688                              1
076                  NHP-43928                              4
077                  TRM-27792                            174
078                  TRM-27792                             95
079                  TNA-63396                            144
080                  CCG-95482                             65
081                  FTD-84699                            199
082                  GMS-89977                             74
083                  KDV-97563                            106
084                  RLT-57887                            164
085                  XBC-95594                            179
086                  HVX-35287                            100
087                  XJQ-35789                            184
088                  TNX-51117                             37
089                  FNR-28782                            117
090                  NMA-58554                            190
091                  GMS-89977                            123
092                  TRM-27792                            133
093                  SZA-87265                             98
094                  BTN-83953                            155
095                  WMD-65834                            138
096                  JVL-65247                            181
097                  BCU-27839                             27
098                  SZA-87265                            124
099                  DHY-22445                            189
100                  CCG-95482                             60
