User ID: 76394-56172

Trial                  Virus                             Units
---------------------------------------------------------------
001                  TLT-23593                            138
002                  JPJ-26459                            102
003                  JPJ-26459                            192
004                  XKG-42573                            161
005                  XJQ-35789                             69
006                  CDC-36833                             38
007                  NHP-43928                            171
008                  CQS-93978                             67
009                  GBK-45859                             35
010                  LNC-68448                             68
011                  EPX-87469                             83
012                  HZF-45469                             79
013                  AAV-93236                            104
014                  PHE-99329                             36
015                  BMN-57337                             46
016                  TRM-27792                             34
017                  HCY-32686                            172
018                  EFG-46945                             80
019                  TLT-23593                             49
020                  XRT-73276                             90
021                  XKG-42573                            105
022                  GBK-45859                             59
023                  NVE-67597                            108
024                  GUJ-74444                             54
025                  HVX-35287                             11
026                  GUJ-74444                             94
027                  JVL-65247                              3
028                  EFG-46945                            169
029                  SZA-87265                             93
030                  WQB-83823                             70
031                  DHY-22445                            165
032                  ZKV-31415                            100
033                  KDV-97563                             72
034                  DHY-22445                            114
035                  KLA-57296                             75
036                  WMD-65834                            132
037                  YMA-56284                            180
038                  PZV-75529                             21
039                  TNA-63396                             23
040                  QBZ-39849                            191
041                  PQJ-67335                            107
042                  HNB-76282                            129
043                  TLT-23593                             28
044                  BMN-57337                            168
045                  YXL-38878                            149
046                  YXL-38878                            135
047                  NXD-76943                            116
048                  FNR-28782                             16
049                  CDC-36833                              2
050                  RLT-57887                             33
051                  URL-32968                             74
052                  CDC-36833                             76
053                  ZHA-83572                            133
054                  WBB-69295                            158
055                  HCY-32686                            164
056                  CQS-93978                            144
057                  KWH-94256                            113
058                  TNG-52497                            106
059                  ZHA-83572                            126
060                  AAV-93236                             29
061                  NVE-67597                             71
062                  BCU-27839                            112
063                  WBB-69295                              9
064                  TQC-49936                            182
065                  HCY-32686                            177
066                  JYL-79355                            117
067                  CCG-95482                             65
068                  HZF-45469                            196
069                  ZXB-54692                            130
070                  FNL-93857                            137
071                  CCG-95482                            121
072                  PHE-99329                            159
073                  NVE-67597                            173
074                  WMD-65834                            131
075                  XRT-73276                             39
076                  VWM-74278                             32
077                  YBD-67688                             95
078                  HVX-35287                             89
079                  VXR-68924                            142
080                  TNG-52497                            110
081                  VWM-74278                             26
082                  QBZ-39849                             53
083                  EFG-46945                            179
084                  YXL-38878                            184
085                  CCG-95482                             66
086                  FNL-93857                            189
087                  PNF-53949                            120
088                  VJN-37687                             78
089                  TXF-47848                             52
090                  WBB-69295                             40
091                  TRM-27792                             73
092                  GUJ-74444                            151
093                  CPU-63784                             45
094                  NWL-28282                             12
095                  KDV-97563                             25
096                  ZKV-31415                            148
097                  NHP-43928                             19
098                  HCY-32686                             81
099                  CCG-95482                            122
100                  HVE-32966                            163
