User ID: 52134-15115

Trial                  Virus                             Units
---------------------------------------------------------------
001                  XKG-42573                             81
002                  ANR-65636                            187
003                  KDV-97563                             56
004                  CCG-95482                             21
005                  GUJ-74444                            117
006                  GUJ-74444                            180
007                  EFG-46945                            138
008                  XRT-73276                            149
009                  PQJ-67335                              1
010                  CCG-95482                            154
011                  KLA-57296                             87
012                  TRM-27792                             88
013                  DAU-26394                            159
014                  EFG-46945                             68
015                  AJA-56777                              4
016                  TRM-27792                            141
017                  JYL-79355                             86
018                  NMA-58554                             65
019                  ZKV-31415                            119
020                  NVE-67597                              9
021                  PWT-38779                            163
022                  BMN-57337                             32
023                  WBB-69295                             66
024                  KWH-94256                            171
025                  VJN-37687                             89
026                  NWL-28282                             30
027                  URL-32968                             78
028                  YBD-67688                            192
029                  TNX-51117                             24
030                  KQA-89952                             14
031                  RLT-57887                             42
032                  PZV-75529                             98
033                  XKG-42573                             76
034                  KDV-97563                            194
035                  QBZ-39849                             92
036                  QBZ-39849                            133
037                  KDV-97563                            118
038                  TRM-27792                             23
039                  CQS-93978                            189
040                  LNC-68448                            143
041                  PNF-53949                             70
042                  WQB-83823                            108
043                  XBC-95594                             22
044                  LNC-68448                            158
045                  XJQ-35789                            165
046                  AJA-56777                            111
047                  WQB-83823                             72
048                  ANR-65636                            177
049                  ZXB-54692                            104
050                  EPX-87469                            173
051                  BTG-65524                              6
052                  SZA-87265                             69
053                  LZL-53762                             31
054                  ZPF-96697                             84
055                  LNC-68448                             80
056                  HCY-32686                             90
057                  PQJ-67335                            174
058                  PWT-38779                             16
059                  GMS-89977                            185
060                  PHE-99329                            140
061                  LZL-53762                             93
062                  TNA-63396                            130
063                  ZPF-96697                             40
064                  FTD-84699                            112
065                  ZHA-83572                             75
066                  HNB-76282                            164
067                  NMA-58554                             47
068                  QBD-79865                             25
069                  WMD-65834                             79
070                  JVL-65247                            116
071                  HVX-35287                            101
072                  KMP-52243                             43
073                  EFG-46945                            134
074                  TRM-27792                            125
075                  HVX-35287                            137
076                  YXL-38878                             11
077                  EFG-46945                            122
078                  JVL-65247                            107
079                  KQA-89952                            102
080                  TRM-27792                            157
081                  YLW-92835                             26
082                  ANR-65636                            167
083                  EFG-46945                            124
084                  RGZ-73449                            131
085                  HZF-45469                            136
086                  FYK-67999                             55
087                  ZXB-54692                            109
088                  FYK-67999                             64
089                  GZN-34688                            100
090                  DAU-26394                             71
091                  WBB-69295                            113
092                  BCU-27839                            170
093                  PNF-53949                            156
094                  GMS-89977                             99
095                  ZKV-31415                            147
096                  BCU-27839                            114
097                  JPJ-26459                            144
098                  TLT-23593                             41
099                  QBZ-39849                              8
100                  KLA-57296                            152
