User ID: 39210-49975

Trial                  Virus                             Units
---------------------------------------------------------------
001                  XJQ-35789                             55
002                  PZV-75529                            136
003                  ZHA-83572                            180
004                  WQM-46249                            140
005                  LWR-78574                             45
006                  KMP-52243                            165
007                  SZA-87265                            108
008                  EFG-46945                             65
009                  VWM-74278                              3
010                  TNG-52497                            186
011                  XJQ-35789                             10
012                  KDV-97563                            190
013                  JVL-65247                            193
014                  TRM-27792                            112
015                  SZA-87265                            144
016                  HVX-35287                             67
017                  WMD-65834                             54
018                  KDV-97563                             26
019                  TRM-27792                            175
020                  XRT-73276                            105
021                  LWR-78574                             39
022                  ANR-65636                             92
023                  YMA-56284                             56
024                  BMN-57337                            167
025                  WQM-46249                             44
026                  PNF-53949                             21
027                  CPU-63784                             72
028                  VWM-74278                            109
029                  TNG-52497                            164
030                  FYK-67999                            106
031                  PQJ-67335                            182
032                  BTG-65524                            101
033                  PNF-53949                             81
034                  XJQ-35789                            160
035                  ZXB-54692                            198
036                  KQA-89952                             58
037                  NHP-43928                             95
038                  FYK-67999                             46
039                  PHE-99329                            184
040                  AJA-56777                            170
041                  DHY-22445                            125
042                  VWM-74278                            127
043                  ANR-65636                             69
044                  YLW-92835                             70
045                  ZKV-31415                              5
046                  NXD-76943                            107
047                  NHP-43928                            126
048                  PWT-38779                            154
049                  BCU-27839                             37
050                  HVX-35287                            148
051                  TXF-47848                            143
052                  TNX-51117                             87
053                  DHY-22445                            156
054                  YLW-92835                            123
055                  SZA-87265                             40
056                  HVE-32966                             84
057                  HZF-45469                            162
058                  WQB-83823                            132
059                  PHE-99329                             88
060                  XRT-73276                             82
061                  GBK-45859                             51
062                  RLT-57887                             47
063                  URL-32968                            183
064                  WMD-65834                             48
065                  GBK-45859                             52
066                  YBD-67688                            176
067                  WMD-65834                            146
068                  WQM-46249                             86
069                  HVX-35287                            158
070                  KLA-57296                             64
071                  LZL-53762                             60
072                  PZV-75529                             24
073                  SZA-87265                            179
074                  PHE-99329                            135
075                  HVE-32966                             97
076                  FYK-67999                            187
077                  QBZ-39849                            168
078                  FNL-93857                            152
079                  WQB-83823                            117
080                  NHP-43928                             89
081                  ZHA-83572                             13
082                  AAV-93236                            149
083                  EPX-87469                             25
084                  FTD-84699                             35
085                  RLT-57887                            191
086                  CPU-63784                            137
087                  EPX-87469                             28
088                  YMA-56284                             61
089                  CQS-93978                             73
090                  AAV-93236                            124
091                  FTD-84699                            200
092                  JVL-65247                              7
093                  XKG-42573                             76
094                  BTN-83953                             57
095                  HCY-32686                             12
096                  PQJ-67335                            145
097                  HKZ-33728                             11
098                  WQM-46249                            169
099                  HKZ-33728                            161
100                  QBD-79865                            141
