User ID: 84756-04819

Trial                  Virus                             Units
---------------------------------------------------------------
001                  JPJ-26459                             24
002                  QBZ-39849                             96
003                  AAV-93236                            163
004                  TNA-63396                            109
005                  NXD-76943                             62
006                  KMP-52243                             58
007                  HNB-76282                            123
008                  JYL-79355                            167
009                  AAV-93236                            146
010                  TRM-27792                            168
011                  KQA-89952                             30
012                  JVL-65247                            189
013                  AAV-93236                             90
014                  TNA-63396                             70
015                  TNX-51117                             94
016                  PWT-38779                             37
017                  HVE-32966                             93
018                  WMD-65834                            197
019                  TXF-47848                             22
020                  KQA-89952                            139
021                  VJN-37687                              5
022                  DHY-22445                             59
023                  HNB-76282                             61
024                  QBD-79865                             69
025                  FNL-93857                             81
026                  AAV-93236                              2
027                  YMA-56284                             55
028                  YBD-67688                            196
029                  XKG-42573                            180
030                  CCG-95482                            169
031                  XRT-73276                            155
032                  HCY-32686                            141
033                  HZF-45469                            192
034                  PNF-53949                              6
035                  TXF-47848                             74
036                  CPU-63784                            191
037                  CQS-93978                            178
038                  WMD-65834                            129
039                  ZHA-83572                            166
040                  HKZ-33728                            175
041                  VWM-74278                            140
042                  HKZ-33728                            100
043                  BCU-27839                            177
044                  DAU-26394                            188
045                  BTG-65524                            148
046                  URL-32968                            142
047                  CCG-95482                            128
048                  TNG-52497                             13
049                  WQM-46249                             92
050                  WBB-69295                            135
051                  RGZ-73449                            151
052                  KDV-97563                            102
053                  WMD-65834                            159
054                  KMP-52243                            137
055                  VJN-37687                              4
056                  KMP-52243                            101
057                  XBC-95594                            193
058                  TXF-47848                             29
059                  BTG-65524                             56
060                  TNG-52497                            176
061                  ZHA-83572                            131
062                  PZV-75529                            153
063                  WQM-46249                            152
064                  CCG-95482                            118
065                  EFG-46945                            183
066                  GZN-34688                            113
067                  VJN-37687                             17
068                  VWM-74278                            171
069                  GBK-45859                             98
070                  SZA-87265                             75
071                  BTG-65524                              8
072                  KMP-52243                             79
073                  LZL-53762                             49
074                  CPU-63784                            164
075                  YLW-92835                            198
076                  TNA-63396                            107
077                  TNG-52497                             43
078                  BTN-83953                            161
079                  WBB-69295                            111
080                  TLT-23593                             34
081                  GBK-45859                              1
082                  AAV-93236                            174
083                  EFG-46945                             68
084                  HKZ-33728                            150
085                  QBZ-39849                            126
086                  ZXB-54692                             12
087                  FNL-93857                             18
088                  VJN-37687                            181
089                  QBZ-39849                             99
090                  PWT-38779                             33
091                  BCU-27839                             60
092                  SZA-87265                            147
093                  HKZ-33728                             53
094                  VXR-68924                             50
095                  NXD-76943                            103
096                  XJQ-35789                            117
097                  BTG-65524                             15
098                  YXL-38878                             88
099                  TNA-63396                             20
100                  NVE-67597                             80
