User ID: 65101-47245

Trial                  Virus                             Units
---------------------------------------------------------------
001                  GBK-45859                            161
002                  SPN-64546                            167
003                  GUJ-74444                            189
004                  BTG-65524                            114
005                  CDC-36833                            193
006                  YBD-67688                             96
007                  YLW-92835                            180
008                  KWH-94256                             28
009                  AAV-93236                            169
010                  HVE-32966                             20
011                  HKZ-33728                              2
012                  TQC-49936                              1
013                  WMD-65834                             21
014                  ZPF-96697                            115
015                  TNA-63396                            145
016                  BTG-65524                             88
017                  JYL-79355                             97
018                  KWH-94256                             70
019                  FNL-93857                            182
020                  TNG-52497                             27
021                  BTG-65524                             34
022                  CPU-63784                              8
023                  GUJ-74444                            147
024                  ZXB-54692                            155
025                  EFG-46945                            140
026                  NWL-28282                            168
027                  JPJ-26459                            163
028                  TRM-27792                            170
029                  WQB-83823                            142
030                  HKZ-33728                             69
031                  BCU-27839                            196
032                  WQM-46249                            152
033                  GZN-34688                             94
034                  XKG-42573                             61
035                  BTN-83953                             42
036                  TRM-27792                            184
037                  GUJ-74444                            154
038                  HZF-45469                             77
039                  TNG-52497                             41
040                  ZPF-96697                            157
041                  KWH-94256                            124
042                  NWL-28282                            119
043                  VJN-37687                             92
044                  NHP-43928                             15
045                  CCG-95482                             65
046                  TLT-23593                             60
047                  QBD-79865                            108
048                  HNB-76282                             87
049                  URL-32968                            156
050                  KLA-57296                            133
051                  DAU-26394                            128
052                  PQJ-67335                              5
053                  FNR-28782                             82
054                  SZA-87265                             35
055                  XJQ-35789                             14
056                  TRM-27792                             37
057                  JYL-79355                            116
058                  XRT-73276                              6
059                  XRT-73276                            151
060                  VJN-37687                             89
061                  PZV-75529                             33
062                  DHY-22445                            177
063                  PZV-75529                            185
064                  NXD-76943                            132
065                  TXF-47848                            134
066                  WQM-46249                             43
067                  SZA-87265                              3
068                  NVE-67597                             86
069                  KQA-89952                            104
070                  VJN-37687                            150
071                  ANR-65636                            183
072                  NWL-28282                            192
073                  NXD-76943                            131
074                  EFG-46945                            164
075                  JPJ-26459                             18
076                  NVE-67597                             59
077                  WBB-69295                             73
078                  CPU-63784                            162
079                  NHP-43928                            178
080                  NXD-76943                            109
081                  XBC-95594                            120
082                  PNF-53949                             57
083                  TQC-49936                            105
084                  QBD-79865                             95
085                  VWM-74278                             32
086                  JYL-79355                            200
087                  CQS-93978                             19
088                  GBK-45859                            153
089                  BTN-83953                             54
090                  NMA-58554                             53
091                  TNX-51117                             81
092                  YXL-38878                            143
093                  WMD-65834                             80
094                  FNR-28782                             51
095                  CCG-95482                            129
096                  WQM-46249                             84
097                  JYL-79355                             93
098                  JYL-79355                             26
099                  QBD-79865                            198
100                  GUJ-74444                            166
