User ID: 23694-74441

Trial                  Virus                             Units
---------------------------------------------------------------
001                  CPU-63784                              2
002                  WQB-83823                            179
003                  SZA-87265                            182
004                  LWR-78574                            108
005                  KLA-57296                            195
006                  NVE-67597                            109
007                  VXR-68924                             69
008                  ZPF-96697                             80
009                  KDV-97563                            177
010                  ANR-65636                            170
011                  DAU-26394                            135
012                  NVE-67597                             91
013                  YLW-92835                            181
014                  XKG-42573                            125
015                  WBB-69295                             59
016                  NMA-58554                            176
017                  TQC-49936                            124
018                  TXF-47848                             22
019                  HZF-45469                            155
020                  HKZ-33728                             35
021                  HKZ-33728                             62
022                  HZF-45469                            150
023                  ZXB-54692                             47
024                  HVE-32966                            173
025                  DHY-22445                            141
026                  CCG-95482                             87
027                  WQB-83823                            186
028                  YLW-92835                            132
029                  PQJ-67335                             14
030                  BTG-65524                             33
031                  BTG-65524                            161
032                  NWL-28282                             83
033                  QBD-79865                            191
034                  ZPF-96697                            147
035                  WQB-83823                            116
036                  JPJ-26459                            199
037                  NHP-43928                            138
038                  ANR-65636                             88
039                  EFG-46945                             53
040                  WQB-83823                            103
041                  AJA-56777                             26
042                  PQJ-67335                             75
043                  NHP-43928                            145
044                  SPN-64546                             12
045                  GZN-34688                            169
046                  RGZ-73449                             10
047                  YMA-56284                            115
048                  GBK-45859                            148
049                  PWT-38779                            119
050                  YXL-38878                            127
051                  FNL-93857                            129
052                  FNR-28782                             76
053                  BTG-65524                            162
054                  TNX-51117                            185
055                  AJA-56777                             94
056                  PNF-53949                            159
057                  KDV-97563                            122
058                  YBD-67688                            166
059                  NVE-67597                             28
060                  FYK-67999                            194
061                  YLW-92835                             48
062                  NWL-28282                             42
063                  ZHA-83572                             84
064                  HVE-32966                             36
065                  TRM-27792                             15
066                  NHP-43928                             29
067                  GMS-89977                             50
068                  NVE-67597                             21
069                  NMA-58554                             19
070                  PHE-99329                            131
071                  SPN-64546                             77
072                  CDC-36833                            183
073                  TRM-27792                             70
074                  URL-32968                             16
075                  NMA-58554                            105
076                  JVL-65247                            172
077                  HVE-32966                             78
078                  BMN-57337                             27
079                  AAV-93236                              9
080                  TRM-27792                              4
081                  CDC-36833                             96
082                  QBD-79865                             73
083                  CPU-63784                            123
084                  YXL-38878                            151
085                  JVL-65247                            101
086                  TRM-27792                            112
087                  HVE-32966                            133
088                  XRT-73276                            175
089                  KDV-97563                             11
090                  GBK-45859                            154
091                  XJQ-35789                            198
092                  VWM-74278                             60
093                  HKZ-33728                             37
094                  BMN-57337                            134
095                  ZHA-83572                            113
096                  ZPF-96697                             57
097                  TQC-49936                            167
098                  XJQ-35789                            188
099                  WQM-46249                            153
100                  VXR-68924                            190
