User ID: 00885-84102

Trial                  Virus                             Units
---------------------------------------------------------------
001                  BTN-83953                            103
002                  FTD-84699                            160
003                  VXR-68924                             94
004                  NWL-28282                            198
005                  PNF-53949                            180
006                  PWT-38779                            112
007                  CQS-93978                            125
008                  GUJ-74444                            171
009                  ANR-65636                            157
010                  ANR-65636                            149
011                  TNA-63396                             53
012                  URL-32968                             66
013                  GZN-34688                            134
014                  WQB-83823                             57
015                  HNB-76282                            137
016                  TNG-52497                            181
017                  JPJ-26459                              2
018                  GUJ-74444                            188
019                  NMA-58554                             99
020                  GMS-89977                              4
021                  TNX-51117                            123
022                  GBK-45859                            173
023                  GMS-89977                            155
024                  TNA-63396                             78
025                  JYL-79355                            102
026                  FNL-93857                             44
027                  HVX-35287                            127
028                  PZV-75529                            138
029                  LZL-53762                            148
030                  CDC-36833                             20
031                  TQC-49936                             56
032                  NWL-28282                              3
033                  VJN-37687                             88
034                  JVL-65247                            177
035                  HVX-35287                             86
036                  YXL-38878                            126
037                  TQC-49936                            115
038                  LWR-78574                            121
039                  DHY-22445                            183
040                  LZL-53762                            146
041                  PQJ-67335                             25
042                  VWM-74278                            117
043                  BCU-27839                             47
044                  HCY-32686                            151
045                  LNC-68448                             97
046                  PZV-75529                             52
047                  VWM-74278                             14
048                  CDC-36833                             11
049                  TNG-52497                            144
050                  CPU-63784                             43
051                  HVX-35287                            164
052                  CDC-36833                             80
053                  FNL-93857                            174
054                  CQS-93978                            172
055                  FNL-93857                             68
056                  YXL-38878                            110
057                  YBD-67688                            156
058                  YMA-56284                             72
059                  URL-32968                            193
060                  CQS-93978                             19
061                  AAV-93236                            106
062                  KWH-94256                            147
063                  KDV-97563                             67
064                  XJQ-35789                             77
065                  PWT-38779                             91
066                  RGZ-73449                            191
067                  NMA-58554                            163
068                  NHP-43928                             95
069                  XJQ-35789                            178
070                  ZHA-83572                            184
071                  HCY-32686                            159
072                  DAU-26394                             64
073                  GUJ-74444                             84
074                  HKZ-33728                              5
075                  TNG-52497                            175
076                  YLW-92835                            187
077                  HNB-76282                            124
078                  TLT-23593                            113
079                  TRM-27792                             90
080                  DAU-26394                            170
081                  CDC-36833                             39
082                  NMA-58554                             35
083                  TNG-52497                             23
084                  CPU-63784                            143
085                  ANR-65636                             82
086                  VWM-74278                             93
087                  PHE-99329                            100
088                  HVX-35287                             36
089                  TXF-47848                            189
090                  XJQ-35789                            167
091                  SZA-87265                              9
092                  AAV-93236                            162
093                  NWL-28282                             18
094                  GMS-89977                            141
095                  WQB-83823                             27
096                  EPX-87469                             85
097                  BMN-57337                            139
098                  PZV-75529                             41
099                  EFG-46945                            150
100                  HVE-32966                             65
