User ID: 24293-80620

Trial                  Virus                             Units
---------------------------------------------------------------
001                  NVE-67597                             76
002                  NXD-76943                              4
003                  NHP-43928                            169
004                  KDV-97563                            134
005                  HVE-32966                            200
006                  JPJ-26459                            130
007                  YXL-38878                            171
008                  FTD-84699                             11
009                  NXD-76943                             19
010                  BTN-83953                            116
011                  HVX-35287                            178
012                  YLW-92835                             35
013                  EFG-46945                             88
014                  SZA-87265                            144
015                  HZF-45469                             96
016                  AAV-93236                            179
017                  AAV-93236                            151
018                  YLW-92835                             15
019                  PHE-99329                            182
020                  EFG-46945                             33
021                  TXF-47848                            115
022                  ANR-65636                            155
023                  GZN-34688                             38
024                  YBD-67688                              6
025                  RLT-57887                            142
026                  WQB-83823                             94
027                  AAV-93236                              3
028                  XRT-73276                            167
029                  AJA-56777                            156
030                  FYK-67999                             82
031                  KWH-94256                            113
032                  TLT-23593                             58
033                  FNL-93857                            166
034                  XRT-73276                             25
035                  PNF-53949                             45
036                  CQS-93978                            181
037                  URL-32968                            152
038                  HZF-45469                             91
039                  VXR-68924                             72
040                  ZXB-54692                             40
041                  NVE-67597                             22
042                  HVE-32966                             61
043                  PWT-38779                            103
044                  GZN-34688                             41
045                  JVL-65247                             20
046                  ZXB-54692                            183
047                  EPX-87469                            145
048                  RGZ-73449                            147
049                  XRT-73276                            148
050                  VJN-37687                             27
051                  XJQ-35789                            102
052                  KQA-89952                             71
053                  WQM-46249                            143
054                  YLW-92835                            198
055                  SZA-87265                            159
056                  BTN-83953                             23
057                  CDC-36833                             59
058                  NHP-43928                              1
059                  HKZ-33728                             90
060                  HZF-45469                            149
061                  GUJ-74444                            172
062                  GBK-45859                            176
063                  ZXB-54692                            131
064                  XJQ-35789                            193
065                  ZHA-83572                             63
066                  NVE-67597                             13
067                  RLT-57887                             17
068                  VXR-68924                            180
069                  XRT-73276                             34
070                  FNL-93857                             21
071                  HVE-32966                            186
072                  TQC-49936                             79
073                  YXL-38878                             12
074                  VXR-68924                             36
075                  KQA-89952                            121
076                  BTN-83953                             75
077                  TNX-51117                             18
078                  GZN-34688                            160
079                  NHP-43928                             28
080                  XBC-95594                            114
081                  HNB-76282                            168
082                  QBZ-39849                             67
083                  TRM-27792                             78
084                  HCY-32686                             50
085                  KLA-57296                             39
086                  CPU-63784                             31
087                  PZV-75529                             85
088                  GZN-34688                              9
089                  XBC-95594                             47
090                  EPX-87469                            112
091                  TQC-49936                             81
092                  WMD-65834                             97
093                  PNF-53949                            184
094                  ZHA-83572                            105
095                  FYK-67999                            126
096                  LNC-68448                             32
097                  HNB-76282                            192
098                  FYK-67999                             62
099                  PZV-75529                            139
100                  EPX-87469                            170
