User ID: 44921-58069

Trial                  Virus                             Units
---------------------------------------------------------------
001                  NMA-58554                            197
002                  TQC-49936                            109
003                  ZHA-83572                            123
004                  GMS-89977                            160
005                  ZKV-31415                             55
006                  NMA-58554                            116
007                  PHE-99329                             18
008                  FNL-93857                            147
009                  YXL-38878                              2
010                  BTG-65524                             68
011                  ZXB-54692                             82
012                  TLT-23593                            171
013                  GBK-45859                             52
014                  HZF-45469                            139
015                  PQJ-67335                            185
016                  FYK-67999                            162
017                  CPU-63784                            176
018                  WQM-46249                            159
019                  NMA-58554                             53
020                  PNF-53949                            191
021                  WMD-65834                             85
022                  JVL-65247                            103
023                  RGZ-73449                             54
024                  FNR-28782                             28
025                  XBC-95594                            192
026                  ZXB-54692                            200
027                  YBD-67688                             97
028                  PWT-38779                            164
029                  AJA-56777                            158
030                  BCU-27839                            172
031                  XJQ-35789                             13
032                  XKG-42573                             76
033                  WMD-65834                             79
034                  KMP-52243                             47
035                  ZKV-31415                              8
036                  CCG-95482                            127
037                  ZPF-96697                            131
038                  TQC-49936                            142
039                  GBK-45859                             50
040                  BCU-27839                             80
041                  HCY-32686                             92
042                  PQJ-67335                             51
043                  FTD-84699                             70
044                  TRM-27792                            161
045                  PNF-53949                             21
046                  KQA-89952                            108
047                  KMP-52243                            179
048                  HVX-35287                             24
049                  YXL-38878                            138
050                  NXD-76943                             41
051                  KWH-94256                             99
052                  CQS-93978                            115
053                  HVX-35287                            190
054                  AJA-56777                             91
055                  PQJ-67335                            170
056                  VXR-68924                             86
057                  ZHA-83572                            183
058                  YMA-56284                              3
059                  RGZ-73449                             38
060                  QBD-79865                             71
061                  WQB-83823                             58
062                  TRM-27792                            134
063                  PZV-75529                              1
064                  FTD-84699                            145
065                  SPN-64546                             73
066                  JYL-79355                            186
067                  YMA-56284                             15
068                  XRT-73276                            177
069                  XKG-42573                             93
070                  XJQ-35789                             35
071                  TRM-27792                             45
072                  TNA-63396                             25
073                  TXF-47848                            122
074                  LZL-53762                             98
075                  FTD-84699                             65
076                  AJA-56777                            188
077                  WMD-65834                            149
078                  LNC-68448                             12
079                  XRT-73276                              4
080                  KQA-89952                            175
081                  XKG-42573                            180
082                  NWL-28282                             60
083                  HCY-32686                             84
084                  RLT-57887                              6
085                  XBC-95594                            189
086                  PNF-53949                             77
087                  WQB-83823                            118
088                  EFG-46945                            126
089                  HCY-32686                            151
090                  PZV-75529                             40
091                  NMA-58554                             75
092                  LZL-53762                            129
093                  TLT-23593                             43
094                  PNF-53949                            167
095                  EPX-87469                            156
096                  JYL-79355                            193
097                  BCU-27839                             26
098                  NHP-43928                            114
099                  KQA-89952                            135
100                  KMP-52243                            168
