User ID: 60571-51326

Trial                  Virus                             Units
---------------------------------------------------------------
001                  FNR-28782                            177
002                  SZA-87265                            135
003                  NWL-28282                            125
004                  HCY-32686                             84
005                  XKG-42573                              4
006                  NXD-76943                            119
007                  BTG-65524                            138
008                  YLW-92835                            195
009                  YLW-92835                             46
010                  YLW-92835                            133
011                  HVE-32966                             63
012                  EPX-87469                            181
013                  BCU-27839                            189
014                  KDV-97563                             32
015                  VXR-68924                            136
016                  BTN-83953                             73
017                  WBB-69295                             17
018                  BMN-57337                            148
019                  EFG-46945                            123
020                  RLT-57887                             12
021                  ZKV-31415                             60
022                  BCU-27839                              8
023                  CPU-63784                            159
024                  ZKV-31415                             43
025                  TLT-23593                            161
026                  PNF-53949                            186
027                  RGZ-73449                            158
028                  RLT-57887                             48
029                  BTN-83953                            102
030                  BTG-65524                            124
031                  GZN-34688                            170
032                  JYL-79355                             18
033                  HVE-32966                            131
034                  FNL-93857                            142
035                  VWM-74278                             19
036                  DAU-26394                             61
037                  QBD-79865                            164
038                  XJQ-35789                            185
039                  HZF-45469                            155
040                  URL-32968                             53
041                  PHE-99329                            137
042                  YXL-38878                             25
043                  JYL-79355                             52
044                  GMS-89977                             27
045                  NMA-58554                             99
046                  HCY-32686                             75
047                  YBD-67688                             85
048                  EFG-46945                            162
049                  AJA-56777                             72
050                  LNC-68448                             24
051                  FYK-67999                             51
052                  EPX-87469                            169
053                  JPJ-26459                            147
054                  XRT-73276                            165
055                  GBK-45859                            101
056                  XRT-73276                             68
057                  PNF-53949                            176
058                  ZPF-96697                            120
059                  HKZ-33728                             42
060                  RLT-57887                              9
061                  PZV-75529                             57
062                  SZA-87265                             76
063                  FNL-93857                            190
064                  TQC-49936                            178
065                  CQS-93978                              3
066                  GZN-34688                            107
067                  RGZ-73449                             82
068                  NHP-43928                            103
069                  YBD-67688                             35
070                  QBD-79865                            197
071                  LNC-68448                             47
072                  FNL-93857                            129
073                  TNG-52497                            171
074                  HZF-45469                             38
075                  QBZ-39849                            198
076                  KQA-89952                            118
077                  KDV-97563                            166
078                  RLT-57887                            100
079                  DAU-26394                             94
080                  TNA-63396                            130
081                  CDC-36833                             92
082                  PNF-53949                            182
083                  NWL-28282                             14
084                  TLT-23593                             39
085                  ZHA-83572                             31
086                  WBB-69295                            167
087                  RGZ-73449                             41
088                  GBK-45859                             16
089                  PNF-53949                            111
090                  VXR-68924                             71
091                  FNL-93857                            112
092                  TLT-23593                             88
093                  PQJ-67335                             30
094                  NHP-43928                             69
095                  NMA-58554                            141
096                  WQM-46249                             58
097                  HCY-32686                            134
098                  BMN-57337                             86
099                  AJA-56777                             96
100                  CQS-93978                            187
