User ID: 65279-11004

Trial                  Virus                             Units
---------------------------------------------------------------
001                  TRM-27792                             32
002                  FNR-28782                             59
003                  ZXB-54692                            131
004                  TNX-51117                             33
005                  WQM-46249                            155
006                  CCG-95482                             44
007                  YMA-56284                            159
008                  BCU-27839                             65
009                  CQS-93978                            172
010                  ANR-65636                            121
011                  VJN-37687                            132
012                  PQJ-67335                             79
013                  VJN-37687                              4
014                  XRT-73276                            166
015                  YMA-56284                            101
016                  HVX-35287                             17
017                  TLT-23593                             37
018                  DAU-26394                             29
019                  WQM-46249                            185
020                  FNL-93857                             92
021                  NXD-76943                             63
022                  HNB-76282                            100
023                  TLT-23593                            191
024                  QBZ-39849                            153
025                  NHP-43928                            196
026                  LNC-68448                            133
027                  KMP-52243                            182
028                  ZPF-96697                            119
029                  GZN-34688                            154
030                  TNX-51117                            198
031                  TNG-52497                            181
032                  PQJ-67335                             50
033                  TNX-51117                             36
034                  NVE-67597                            113
035                  HVE-32966                             18
036                  ANR-65636                             14
037                  PQJ-67335                             96
038                  WQB-83823                             76
039                  NVE-67597                            122
040                  LZL-53762                             84
041                  BTN-83953                             42
042                  XKG-42573                            188
043                  DAU-26394                            135
044                  AAV-93236                            128
045                  LZL-53762                             85
046                  FNL-93857                             89
047                  GMS-89977                            114
048                  FTD-84699                            157
049                  CDC-36833                             52
050                  KWH-94256                            129
051                  YBD-67688                             82
052                  ZKV-31415                             93
053                  JYL-79355                            137
054                  NXD-76943                            151
055                  URL-32968                             87
056                  HNB-76282                             91
057                  QBD-79865                            120
058                  PZV-75529                             70
059                  XRT-73276                              5
060                  PQJ-67335                            136
061                  JPJ-26459                             20
062                  BMN-57337                              7
063                  VJN-37687                            187
064                  GBK-45859                            105
065                  CCG-95482                            192
066                  WQB-83823                             75
067                  JPJ-26459                            156
068                  JPJ-26459                             86
069                  KQA-89952                            126
070                  WQB-83823                             97
071                  GBK-45859                             38
072                  BCU-27839                             51
073                  GBK-45859                            169
074                  FNL-93857                            134
075                  GBK-45859                             71
076                  VJN-37687                             13
077                  EFG-46945                            141
078                  YMA-56284                            167
079                  EFG-46945                             60
080                  TNX-51117                            163
081                  TNX-51117                              3
082                  TNG-52497                             67
083                  XRT-73276                            140
084                  PHE-99329                            176
085                  LNC-68448                            149
086                  NWL-28282                            189
087                  GMS-89977                             49
088                  CQS-93978                             26
089                  PNF-53949                             21
090                  LZL-53762                            112
091                  QBZ-39849                             77
092                  KQA-89952                             83
093                  XBC-95594                            147
094                  TLT-23593                            162
095                  JPJ-26459                            164
096                  SPN-64546                             53
097                  YLW-92835                            130
098                  VWM-74278                            171
099                  NHP-43928                             74
100                  CQS-93978                            107
