User ID: 05074-62754

Trial                  Virus                             Units
---------------------------------------------------------------
001                  KDV-97563                             56
002                  TNX-51117                            110
003                  KWH-94256                            106
004                  PNF-53949                            111
005                  TRM-27792                            192
006                  QBD-79865                            122
007                  JYL-79355                            163
008                  WQB-83823                             64
009                  XKG-42573                            191
010                  WQB-83823                             76
011                  TLT-23593                            176
012                  NXD-76943                             68
013                  TQC-49936                             94
014                  AAV-93236                             54
015                  JVL-65247                            119
016                  RGZ-73449                            193
017                  GMS-89977                             86
018                  QBZ-39849                            114
019                  GUJ-74444                            183
020                  CQS-93978                              4
021                  TNX-51117                            108
022                  YMA-56284                            131
023                  GUJ-74444                            125
024                  ANR-65636                            100
025                  TQC-49936                            124
026                  HCY-32686                              9
027                  CQS-93978                            126
028                  GMS-89977                             13
029                  BCU-27839                            130
030                  YMA-56284                            123
031                  TLT-23593                            190
032                  KQA-89952                            162
033                  CPU-63784                            113
034                  ZPF-96697                            165
035                  NWL-28282                             63
036                  FTD-84699                            128
037                  RLT-57887                             85
038                  RLT-57887                             36
039                  YLW-92835                             46
040                  LWR-78574                            153
041                  NXD-76943                            166
042                  YLW-92835                            134
043                  VJN-37687                            194
044                  NMA-58554                            152
045                  PZV-75529                             55
046                  NMA-58554                             90
047                  BMN-57337                            117
048                  JPJ-26459                             23
049                  EFG-46945                            105
050                  WMD-65834                            127
051                  CPU-63784                            171
052                  HZF-45469                             33
053                  DAU-26394                             70
054                  NWL-28282                             60
055                  PHE-99329                            147
056                  EFG-46945                            160
057                  PZV-75529                             32
058                  ZHA-83572                            137
059                  VXR-68924                            142
060                  VWM-74278                            155
061                  VXR-68924                              1
062                  TXF-47848                             43
063                  NHP-43928                            181
064                  FYK-67999                             61
065                  PQJ-67335                             74
066                  WMD-65834                             77
067                  PWT-38779                            112
068                  DAU-26394                             62
069                  JYL-79355                            120
070                  JVL-65247                             92
071                  HNB-76282                            164
072                  TXF-47848                             44
073                  ZKV-31415                             17
074                  SZA-87265                            185
075                  PWT-38779                              8
076                  RGZ-73449                            109
077                  RLT-57887                            177
078                  XBC-95594                            139
079                  JYL-79355                             75
080                  KLA-57296                             81
081                  QBD-79865                            121
082                  LNC-68448                            159
083                  XJQ-35789                            140
084                  XRT-73276                            184
085                  TXF-47848                             10
086                  KWH-94256                            173
087                  HZF-45469                             34
088                  FNR-28782                             11
089                  ZXB-54692                            145
090                  PQJ-67335                             83
091                  YMA-56284                            143
092                  ZPF-96697                             27
093                  HVX-35287                             65
094                  RLT-57887                             93
095                  DHY-22445                            156
096                  BTN-83953                            115
097                  XBC-95594                             57
098                  BTG-65524                             69
099                  HVE-32966                             29
100                  LZL-53762                              3
