User ID: 23694-74441

Trial                  Virus                             Units
---------------------------------------------------------------
001                  DAU-26394                             79
002                  GUJ-74444                            185
003                  TQC-49936                            161
004                  FNL-93857                             71
005                  WQM-46249                            110
006                  SZA-87265                             76
007                  TQC-49936                            114
008                  URL-32968                            106
009                  TNA-63396                             62
010                  HZF-45469                             65
011                  FNR-28782                              9
012                  VXR-68924                            134
013                  EFG-46945                            162
014                  HNB-76282                             30
015                  LZL-53762                             29
016                  TNG-52497                             43
017                  PHE-99329                             81
018                  TRM-27792                            180
019                  YLW-92835                            139
020                  BCU-27839                            189
021                  PQJ-67335                            154
022                  SPN-64546                             45
023                  XJQ-35789                            143
024                  YBD-67688                             87
025                  KDV-97563                             96
026                  CDC-36833                             59
027                  QBZ-39849                             80
028                  FYK-67999                            121
029                  TNX-51117                            120
030                  TXF-47848                            128
031                  FYK-67999                             44
032                  CDC-36833                             86
033                  KLA-57296                              1
034                  NMA-58554                            152
035                  FNL-93857                             48
036                  WQM-46249                            151
037                  AAV-93236                             28
038                  ANR-65636                            125
039                  PWT-38779                            137
040                  TNX-51117                             58
041                  ZHA-83572                            195
042                  YBD-67688                             13
043                  TNA-63396                             12
044                  RGZ-73449                             14
045                  GUJ-74444                             90
046                  VXR-68924                            142
047                  HVE-32966                            159
048                  NVE-67597                            174
049                  VJN-37687                            102
050                  NMA-58554                            127
051                  URL-32968                            112
052                  RLT-57887                            148
053                  VXR-68924                             60
054                  CDC-36833                              3
055                  CDC-36833                            191
056                  YXL-38878                            172
057                  BCU-27839                             22
058                  ZPF-96697                            178
059                  EFG-46945                             39
060                  DHY-22445                            107
061                  KMP-52243                            147
062                  XJQ-35789                             61
063                  KMP-52243                             15
064                  RLT-57887                             74
065                  NVE-67597                             37
066                  NMA-58554                            187
067                  FTD-84699                             47
068                  HCY-32686                            158
069                  XJQ-35789                              5
070                  JPJ-26459                             31
071                  ANR-65636                             25
072                  PNF-53949                             91
073                  DAU-26394                            190
074                  DHY-22445                             70
075                  ZXB-54692                            176
076                  LWR-78574                             82
077                  ZPF-96697                             95
078                  TXF-47848                            164
079                  XJQ-35789                             69
080                  XJQ-35789                            193
081                  KLA-57296                            186
082                  XKG-42573                             51
083                  HCY-32686                             64
084                  PQJ-67335                             67
085                  HVE-32966                            198
086                  GUJ-74444                              2
087                  PNF-53949                             73
088                  KLA-57296                            166
089                  HVX-35287                             21
090                  PNF-53949                             63
091                  PHE-99329                            124
092                  GBK-45859                            111
093                  KQA-89952                             27
094                  HCY-32686                            157
095                  EFG-46945                            182
096                  DHY-22445                             97
097                  CQS-93978                             46
098                  BTG-65524                            149
099                  YXL-38878                            104
100                  FYK-67999                            153
