User ID: 49728-91010

Trial                  Virus                             Units
---------------------------------------------------------------
001                  KLA-57296                             24
002                  ZHA-83572                              2
003                  PQJ-67335                             53
004                  URL-32968                             99
005                  HZF-45469                             14
006                  ZXB-54692                            125
007                  LNC-68448                            140
008                  JPJ-26459                             90
009                  WMD-65834                             42
010                  BCU-27839                            130
011                  YBD-67688                             48
012                  WBB-69295                             64
013                  WQM-46249                            145
014                  YXL-38878                             30
015                  DAU-26394                             67
016                  AJA-56777                             41
017                  YXL-38878                             82
018                  EPX-87469                             85
019                  PNF-53949                             28
020                  NMA-58554                            160
021                  NMA-58554                            188
022                  EFG-46945                            183
023                  VXR-68924                            120
024                  AJA-56777                            106
025                  BCU-27839                             80
026                  GMS-89977                            121
027                  WBB-69295                            164
028                  JYL-79355                            148
029                  XKG-42573                             58
030                  TNA-63396                            186
031                  DAU-26394                             89
032                  NXD-76943                            178
033                  TNA-63396                            176
034                  ZPF-96697                            137
035                  EPX-87469                            129
036                  JYL-79355                             45
037                  TNA-63396                            155
038                  URL-32968                             38
039                  DHY-22445                             79
040                  VXR-68924                             36
041                  WMD-65834                            103
042                  HVE-32966                            173
043                  YMA-56284                            165
044                  BTN-83953                              8
045                  TLT-23593                            162
046                  XBC-95594                             72
047                  TNG-52497                            126
048                  NWL-28282                             39
049                  NWL-28282                              6
050                  VJN-37687                             35
051                  VJN-37687                             61
052                  FTD-84699                             13
053                  AAV-93236                            141
054                  VXR-68924                             56
055                  TXF-47848                             95
056                  RGZ-73449                            133
057                  YBD-67688                             47
058                  KQA-89952                             52
059                  YBD-67688                            147
060                  YLW-92835                            190
061                  CQS-93978                            110
062                  KMP-52243                            175
063                  XBC-95594                             92
064                  DAU-26394                            179
065                  CDC-36833                            105
066                  XKG-42573                            161
067                  TXF-47848                            109
068                  JYL-79355                             96
069                  GMS-89977                              9
070                  WBB-69295                             68
071                  KDV-97563                             57
072                  LZL-53762                            101
073                  ZKV-31415                            168
074                  HKZ-33728                              3
075                  TRM-27792                             19
076                  KLA-57296                            177
077                  TQC-49936                            157
078                  XJQ-35789                            132
079                  PZV-75529                            127
080                  WBB-69295                             12
081                  DAU-26394                             29
082                  ZKV-31415                             59
083                  YXL-38878                            191
084                  EPX-87469                             20
085                  GMS-89977                            119
086                  WQB-83823                             32
087                  JVL-65247                             43
088                  ZPF-96697                             44
089                  LNC-68448                             34
090                  TLT-23593                             23
091                  XKG-42573                             31
092                  NXD-76943                             93
093                  YBD-67688                             37
094                  PHE-99329                            171
095                  FTD-84699                            166
096                  WBB-69295                            113
097                  DAU-26394                            187
098                  VWM-74278                             97
099                  NWL-28282                            139
100                  CDC-36833                            116
