User ID: 64764-90662

Trial                  Virus                             Units
---------------------------------------------------------------
001                  GBK-45859                            103
002                  XRT-73276                            143
003                  TLT-23593                             24
004                  EFG-46945                            127
005                  WMD-65834                            111
006                  ZHA-83572                             36
007                  JYL-79355                             30
008                  HZF-45469                            104
009                  TNG-52497                            149
010                  FTD-84699                            146
011                  XKG-42573                            150
012                  TLT-23593                            102
013                  LWR-78574                             86
014                  KWH-94256                            141
015                  KQA-89952                              8
016                  LNC-68448                            128
017                  TNX-51117                              9
018                  NWL-28282                             58
019                  TNA-63396                             35
020                  BTN-83953                             66
021                  FTD-84699                             10
022                  BTG-65524                            189
023                  BTG-65524                            198
024                  JYL-79355                            130
025                  BTG-65524                            126
026                  AAV-93236                             61
027                  ZKV-31415                              1
028                  PWT-38779                            171
029                  QBD-79865                            168
030                  CDC-36833                            153
031                  NMA-58554                            145
032                  FNL-93857                            107
033                  WBB-69295                            115
034                  GZN-34688                            188
035                  GMS-89977                             25
036                  DHY-22445                             78
037                  YMA-56284                             38
038                  NXD-76943                             43
039                  ANR-65636                            101
040                  EFG-46945                             16
041                  NXD-76943                            135
042                  JVL-65247                             89
043                  URL-32968                             97
044                  VXR-68924                            191
045                  TRM-27792                            116
046                  NXD-76943                            184
047                  FNL-93857                             71
048                  ZHA-83572                            119
049                  PZV-75529                             99
050                  NHP-43928                            166
051                  TLT-23593                             45
052                  PZV-75529                             84
053                  FNR-28782                             21
054                  TQC-49936                             31
055                  SPN-64546                             33
056                  SPN-64546                            100
057                  TNG-52497                            190
058                  XRT-73276                             15
059                  TXF-47848                             49
060                  KLA-57296                             87
061                  HVX-35287                            173
062                  ZPF-96697                            194
063                  TRM-27792                            112
064                  FNL-93857                            180
065                  KLA-57296                             54
066                  HKZ-33728                             95
067                  TXF-47848                            163
068                  CQS-93978                            175
069                  GUJ-74444                              7
070                  ANR-65636                            200
071                  LZL-53762                             42
072                  FNR-28782                            113
073                  PQJ-67335                            131
074                  NHP-43928                             23
075                  SZA-87265                            164
076                  EFG-46945                            139
077                  TQC-49936                            183
078                  HZF-45469                            181
079                  PNF-53949                              2
080                  GBK-45859                            124
081                  QBD-79865                            132
082                  DHY-22445                            108
083                  BTG-65524                             68
084                  KQA-89952                            169
085                  QBD-79865                             22
086                  NHP-43928                             50
087                  ZHA-83572                             94
088                  LWR-78574                             92
089                  FTD-84699                             77
090                  NVE-67597                             41
091                  NWL-28282                            109
092                  TNG-52497                             88
093                  BMN-57337                             56
094                  BCU-27839                             98
095                  PHE-99329                             72
096                  CCG-95482                             93
097                  XRT-73276                            165
098                  JPJ-26459                             85
099                  PZV-75529                            157
100                  VWM-74278                            158
