User ID: 26985-90240

Trial                  Virus                             Units
---------------------------------------------------------------
001                  HVE-32966                            102
002                  HNB-76282                            113
003                  JPJ-26459                            157
004                  FTD-84699                             81
005                  YMA-56284                             20
006                  QBZ-39849                            159
007                  RLT-57887                             64
008                  TNX-51117                            130
009                  ZHA-83572                             55
010                  XBC-95594                             38
011                  JYL-79355                            108
012                  AJA-56777                            153
013                  TXF-47848                            194
014                  FYK-67999                             14
015                  QBD-79865                            118
016                  AJA-56777                             24
017                  XJQ-35789                            105
018                  EPX-87469                             73
019                  KMP-52243                            101
020                  GZN-34688                             89
021                  BTG-65524                             22
022                  TNA-63396                            140
023                  NVE-67597                            146
024                  PHE-99329                             90
025                  PQJ-67335                            126
026                  SPN-64546                            183
027                  YXL-38878                            112
028                  LZL-53762                             11
029                  GUJ-74444                            168
030                  TNG-52497                            191
031                  VJN-37687                            190
032                  VXR-68924                            120
033                  RGZ-73449                            189
034                  WMD-65834                             72
035                  FTD-84699                             94
036                  TNA-63396                            129
037                  LZL-53762                            188
038                  HNB-76282                             16
039                  EPX-87469                            115
040                  VXR-68924                            186
041                  WMD-65834                             76
042                  WBB-69295                             53
043                  TRM-27792                            185
044                  CPU-63784                             52
045                  NWL-28282                             96
046                  BTG-65524                            172
047                  WBB-69295                              5
048                  HKZ-33728                             69
049                  CPU-63784                            163
050                  TXF-47848                            187
051                  NHP-43928                             37
052                  PNF-53949                              4
053                  SPN-64546                            160
054                  WQM-46249                             19
055                  PNF-53949                            116
056                  SPN-64546                            106
057                  FNL-93857                             84
058                  QBZ-39849                             71
059                  TRM-27792                             78
060                  NMA-58554                            132
061                  GUJ-74444                             95
062                  LZL-53762                             66
063                  KQA-89952                            135
064                  NVE-67597                            117
065                  FTD-84699                             58
066                  AJA-56777                             88
067                  PWT-38779                             75
068                  CCG-95482                            149
069                  KLA-57296                            119
070                  WBB-69295                            136
071                  SPN-64546                             12
072                  RGZ-73449                            196
073                  TNX-51117                             85
074                  XRT-73276                            198
075                  PZV-75529                             48
076                  HVE-32966                             49
077                  TQC-49936                            124
078                  NXD-76943                             41
079                  GUJ-74444                             56
080                  QBD-79865                              8
081                  ZXB-54692                            181
082                  LWR-78574                             50
083                  BCU-27839                            152
084                  YLW-92835                             29
085                  LWR-78574                              1
086                  DHY-22445                            138
087                  XBC-95594                            169
088                  QBZ-39849                             30
089                  PZV-75529                             57
090                  HNB-76282                            110
091                  QBD-79865                              7
092                  KWH-94256                            141
093                  DHY-22445                             18
094                  CQS-93978                             92
095                  EPX-87469                             59
096                  BTN-83953                             74
097                  YLW-92835                            192
098                  PWT-38779                            162
099                  VJN-37687                            114
100                  NVE-67597                            147
