User ID: 17415-55660

Trial                  Virus                             Units
---------------------------------------------------------------
001                  EPX-87469                             92
002                  JVL-65247                             57
003                  CCG-95482                            126
004                  SPN-64546                            131
005                  CDC-36833                             24
006                  RLT-57887                             35
007                  QBD-79865                             86
008                  DHY-22445                            168
009                  EFG-46945                              3
010                  HVX-35287                             60
011                  LWR-78574                             65
012                  WBB-69295                             43
013                  NMA-58554                            185
014                  ANR-65636                            133
015                  TXF-47848                            110
016                  CPU-63784                             45
017                  RLT-57887                             58
018                  TNX-51117                             42
019                  URL-32968                            124
020                  SZA-87265                            119
021                  KDV-97563                            139
022                  JVL-65247                            144
023                  YXL-38878                             51
024                  KMP-52243                             47
025                  FTD-84699                            154
026                  PQJ-67335                             87
027                  CDC-36833                             71
028                  RGZ-73449                             53
029                  NMA-58554                             39
030                  TNG-52497                             76
031                  PWT-38779                             99
032                  YLW-92835                             83
033                  ZHA-83572                             59
034                  EFG-46945                            169
035                  KMP-52243                            151
036                  CQS-93978                            125
037                  DAU-26394                              6
038                  XJQ-35789                             70
039                  DHY-22445                            134
040                  WBB-69295                             72
041                  GBK-45859                             50
042                  DAU-26394                            153
043                  TRM-27792                            166
044                  JYL-79355                             97
045                  GUJ-74444                            157
046                  BTG-65524                             88
047                  CCG-95482                             93
048                  JVL-65247                            152
049                  PQJ-67335                            128
050                  TNG-52497                            114
051                  FTD-84699                             11
052                  NHP-43928                             67
053                  JPJ-26459                             37
054                  CPU-63784                             62
055                  XBC-95594                            165
056                  XBC-95594                            156
057                  WBB-69295                            104
058                  EPX-87469                            116
059                  NVE-67597                            142
060                  EPX-87469                            183
061                  LZL-53762                            118
062                  NMA-58554                             26
063                  EPX-87469                            197
064                  KLA-57296                            111
065                  GMS-89977                            112
066                  HVX-35287                             89
067                  FYK-67999                             16
068                  FTD-84699                             10
069                  RGZ-73449                             79
070                  KQA-89952                            163
071                  XJQ-35789                            159
072                  NMA-58554                             46
073                  TRM-27792                             20
074                  FNL-93857                            189
075                  JVL-65247                            174
076                  HNB-76282                             54
077                  HNB-76282                            149
078                  WQB-83823                            106
079                  AAV-93236                             15
080                  ZKV-31415                             23
081                  GMS-89977                            108
082                  TNG-52497                             74
083                  LZL-53762                             66
084                  CCG-95482                            129
085                  NXD-76943                             17
086                  SZA-87265                              1
087                  CQS-93978                            147
088                  KQA-89952                            150
089                  FNR-28782                             63
090                  GMS-89977                            170
091                  PHE-99329                             75
092                  ZHA-83572                            177
093                  VXR-68924                             61
094                  ZKV-31415                             38
095                  NMA-58554                             40
096                  TNG-52497                            194
097                  RGZ-73449                             22
098                  VXR-68924                             90
099                  KMP-52243                             49
100                  GBK-45859                            145
