User ID: 53307-18031

Trial                  Virus                             Units
---------------------------------------------------------------
001                  RLT-57887                             84
002                  AAV-93236                             98
003                  CPU-63784                            103
004                  EPX-87469                            150
005                  TQC-49936                            192
006                  FNR-28782                             85
007                  YLW-92835                              3
008                  PWT-38779                            188
009                  HKZ-33728                             88
010                  HVE-32966                             72
011                  FNL-93857                             47
012                  EPX-87469                            112
013                  HKZ-33728                            114
014                  CDC-36833                            160
015                  VWM-74278                            196
016                  ZHA-83572                             33
017                  DAU-26394                             59
018                  HNB-76282                             34
019                  CDC-36833                             69
020                  VWM-74278                             90
021                  LZL-53762                            168
022                  HKZ-33728                             46
023                  SZA-87265                            145
024                  TNA-63396                            164
025                  JYL-79355                            109
026                  TNX-51117                             18
027                  NVE-67597                             23
028                  VWM-74278                            136
029                  TLT-23593                            135
030                  VXR-68924                             52
031                  XBC-95594                             55
032                  HKZ-33728                            123
033                  HZF-45469                            177
034                  BMN-57337                            186
035                  TNG-52497                            120
036                  JPJ-26459                            118
037                  PHE-99329                            166
038                  KMP-52243                             20
039                  XJQ-35789                             68
040                  AJA-56777                             42
041                  LNC-68448                             28
042                  HKZ-33728                             29
043                  TRM-27792                            195
044                  ZPF-96697                            132
045                  CDC-36833                             58
046                  HVE-32966                              4
047                  ANR-65636                             49
048                  ANR-65636                             77
049                  ZKV-31415                             82
050                  CDC-36833                            173
051                  FNL-93857                             10
052                  LZL-53762                            162
053                  KLA-57296                            100
054                  QBZ-39849                              8
055                  YXL-38878                            125
056                  FNL-93857                             65
057                  KWH-94256                             86
058                  DHY-22445                             94
059                  WQM-46249                             40
060                  ZKV-31415                             99
061                  TNX-51117                             22
062                  XRT-73276                            172
063                  BTN-83953                            190
064                  ZKV-31415                            175
065                  PQJ-67335                             41
066                  TLT-23593                            198
067                  KWH-94256                             92
068                  VJN-37687                            144
069                  HNB-76282                             53
070                  JYL-79355                            131
071                  HKZ-33728                            165
072                  AAV-93236                            200
073                  HVX-35287                            124
074                  ZHA-83572                            187
075                  YBD-67688                            159
076                  FNR-28782                             11
077                  VJN-37687                             13
078                  HKZ-33728                            139
079                  LNC-68448                            163
080                  GUJ-74444                            176
081                  CDC-36833                             62
082                  YXL-38878                            105
083                  TXF-47848                            104
084                  ANR-65636                            117
085                  DHY-22445                            134
086                  PWT-38779                             19
087                  GMS-89977                            128
088                  PZV-75529                             17
089                  FTD-84699                            137
090                  PNF-53949                            142
091                  PZV-75529                            158
092                  VWM-74278                            197
093                  TQC-49936                             24
094                  VWM-74278                            184
095                  AJA-56777                            116
096                  ANR-65636                             32
097                  PNF-53949                            141
098                  JYL-79355                             43
099                  VWM-74278                            127
100                  YXL-38878                             96
