User ID: 48757-77990

Trial                  Virus                             Units
---------------------------------------------------------------
001                  DHY-22445                            112
002                  GBK-45859                            184
003                  XJQ-35789                            116
004                  NHP-43928                            138
005                  ANR-65636                              3
006                  GMS-89977                            170
007                  BTG-65524                             97
008                  RLT-57887                             43
009                  XRT-73276                             77
010                  EPX-87469                            135
011                  PHE-99329                            145
012                  PNF-53949                             79
013                  KDV-97563                            146
014                  CPU-63784                             85
015                  QBZ-39849                             63
016                  TNG-52497                             48
017                  HZF-45469                             76
018                  EFG-46945                            188
019                  GMS-89977                             26
020                  XKG-42573                             92
021                  FTD-84699                             51
022                  TRM-27792                            200
023                  EFG-46945                             94
024                  HCY-32686                             24
025                  VWM-74278                            173
026                  KWH-94256                             80
027                  GZN-34688                            134
028                  PHE-99329                            175
029                  JYL-79355                             60
030                  WBB-69295                             20
031                  HVX-35287                            198
032                  YBD-67688                             64
033                  EFG-46945                            176
034                  CDC-36833                            139
035                  FYK-67999                             12
036                  YLW-92835                              2
037                  DHY-22445                            129
038                  LZL-53762                              6
039                  FTD-84699                            123
040                  FYK-67999                             54
041                  BCU-27839                             88
042                  QBZ-39849                            133
043                  PNF-53949                             19
044                  BTG-65524                            199
045                  SPN-64546                            162
046                  YLW-92835                             99
047                  HVX-35287                            136
048                  BMN-57337                            137
049                  ZPF-96697                            152
050                  TLT-23593                            102
051                  WQB-83823                             82
052                  GUJ-74444                            180
053                  LNC-68448                            109
054                  DAU-26394                             38
055                  PNF-53949                            191
056                  KMP-52243                            100
057                  FNL-93857                             44
058                  NVE-67597                            114
059                  HZF-45469                             96
060                  PZV-75529                            128
061                  PQJ-67335                              1
062                  PQJ-67335                             42
063                  ZXB-54692                             30
064                  VJN-37687                             74
065                  TNX-51117                            164
066                  KWH-94256                             41
067                  FNR-28782                            154
068                  HCY-32686                            104
069                  TRM-27792                            171
070                  CCG-95482                             98
071                  TXF-47848                             40
072                  WQM-46249                             89
073                  HZF-45469                            122
074                  YBD-67688                            110
075                  ANR-65636                            150
076                  XBC-95594                             84
077                  XBC-95594                             34
078                  ZKV-31415                            120
079                  NMA-58554                             52
080                  JPJ-26459                             15
081                  GBK-45859                             37
082                  ZPF-96697                            161
083                  YMA-56284                            151
084                  WQM-46249                            169
085                  KDV-97563                             57
086                  BMN-57337                            115
087                  EFG-46945                            147
088                  QBZ-39849                             93
089                  PQJ-67335                             46
090                  GZN-34688                             55
091                  GUJ-74444                            160
092                  DAU-26394                             31
093                  TRM-27792                            132
094                  XKG-42573                            144
095                  XJQ-35789                            192
096                  HNB-76282                            157
097                  HCY-32686                             69
098                  LWR-78574                            101
099                  JYL-79355                             68
100                  WQM-46249                            105
