User ID: 49728-91010

Trial                  Virus                             Units
---------------------------------------------------------------
001                  PZV-75529                             87
002                  GBK-45859                            166
003                  BMN-57337                            122
004                  LWR-78574                            163
005                  CPU-63784                            194
006                  FYK-67999                            167
007                  TRM-27792                            148
008                  PZV-75529                            185
009                  DHY-22445                            141
010                  WQM-46249                             28
011                  LZL-53762                             74
012                  QBZ-39849                             63
013                  JYL-79355                            189
014                  TNA-63396                            131
015                  YBD-67688                             41
016                  KMP-52243                            172
017                  GBK-45859                            120
018                  AJA-56777                            151
019                  TRM-27792                             22
020                  KMP-52243                             45
021                  KWH-94256                             59
022                  PNF-53949                            135
023                  NMA-58554                            150
024                  NXD-76943                             65
025                  NHP-43928                             16
026                  HKZ-33728                             15
027                  XRT-73276                            160
028                  PZV-75529                              6
029                  DHY-22445                            169
030                  NVE-67597                             13
031                  QBZ-39849                            154
032                  VWM-74278                            132
033                  VJN-37687                            107
034                  HNB-76282                             71
035                  KQA-89952                             48
036                  YLW-92835                             26
037                  BTN-83953                            173
038                  TNA-63396                             84
039                  WQM-46249                             64
040                  DHY-22445                            198
041                  PQJ-67335                             75
042                  JVL-65247                             51
043                  XJQ-35789                             11
044                  SPN-64546                            158
045                  KQA-89952                             42
046                  NVE-67597                            183
047                  JYL-79355                            140
048                  ZKV-31415                            156
049                  KLA-57296                            187
050                  ZKV-31415                            138
051                  AJA-56777                            146
052                  YXL-38878                            126
053                  TQC-49936                            112
054                  NVE-67597                            128
055                  YXL-38878                             19
056                  BMN-57337                             93
057                  WBB-69295                            200
058                  HVE-32966                            195
059                  XBC-95594                            124
060                  BCU-27839                             10
061                  LWR-78574                            161
062                  RGZ-73449                             81
063                  KWH-94256                            181
064                  TNA-63396                             36
065                  EFG-46945                            139
066                  NHP-43928                            186
067                  TNG-52497                             91
068                  FYK-67999                             97
069                  YBD-67688                            125
070                  RLT-57887                             92
071                  BMN-57337                             62
072                  YLW-92835                             18
073                  PZV-75529                            152
074                  NWL-28282                             90
075                  BTG-65524                             86
076                  URL-32968                            179
077                  CPU-63784                            180
078                  TQC-49936                            121
079                  LWR-78574                             20
080                  HNB-76282                            188
081                  TLT-23593                            116
082                  TNX-51117                            130
083                  YXL-38878                             77
084                  CPU-63784                            145
085                  WBB-69295                             33
086                  VJN-37687                            106
087                  FNL-93857                            196
088                  NWL-28282                             56
089                  FNR-28782                            176
090                  PZV-75529                             82
091                  YBD-67688                             72
092                  PNF-53949                            178
093                  FNL-93857                             46
094                  SZA-87265                            168
095                  PZV-75529                            153
096                  WQB-83823                            147
097                  WQB-83823                             24
098                  XJQ-35789                            165
099                  ZKV-31415                            197
100                  CCG-95482                            174
