User ID: 52477-58076

Trial                  Virus                             Units
---------------------------------------------------------------
001                  TNX-51117                            146
002                  BTG-65524                             67
003                  CCG-95482                              5
004                  TRM-27792                            145
005                  NWL-28282                            195
006                  YXL-38878                             73
007                  EFG-46945                            199
008                  WBB-69295                            186
009                  WQB-83823                             96
010                  DHY-22445                            118
011                  YMA-56284                            179
012                  XKG-42573                            167
013                  HZF-45469                            142
014                  NVE-67597                            151
015                  TNA-63396                            155
016                  FNR-28782                            143
017                  WBB-69295                            141
018                  NWL-28282                            194
019                  VJN-37687                             76
020                  PHE-99329                             75
021                  EPX-87469                              1
022                  LWR-78574                            134
023                  GUJ-74444                            147
024                  XJQ-35789                             55
025                  FNL-93857                            185
026                  ZXB-54692                            200
027                  TNA-63396                             26
028                  YXL-38878                            113
029                  XBC-95594                              4
030                  PHE-99329                            105
031                  HCY-32686                            128
032                  HVE-32966                             90
033                  AAV-93236                             18
034                  SZA-87265                             54
035                  PQJ-67335                            159
036                  JPJ-26459                             11
037                  BCU-27839                             51
038                  KDV-97563                              3
039                  KMP-52243                            156
040                  TNA-63396                             42
041                  XRT-73276                             89
042                  WQM-46249                            130
043                  LZL-53762                            102
044                  NHP-43928                             74
045                  YLW-92835                            116
046                  PWT-38779                            127
047                  FYK-67999                            129
048                  PWT-38779                             57
049                  JYL-79355                             63
050                  NMA-58554                             46
051                  TNG-52497                             44
052                  TLT-23593                             62
053                  PQJ-67335                             70
054                  HVE-32966                            182
055                  FNL-93857                             40
056                  YXL-38878                            153
057                  HCY-32686                             50
058                  BTN-83953                             20
059                  QBD-79865                            108
060                  BTG-65524                             28
061                  FYK-67999                             68
062                  QBD-79865                            171
063                  NVE-67597                            115
064                  VJN-37687                             17
065                  AAV-93236                             36
066                  CDC-36833                             53
067                  SPN-64546                              9
068                  BTG-65524                             10
069                  BTN-83953                            164
070                  CPU-63784                             39
071                  FTD-84699                             85
072                  NMA-58554                             93
073                  JVL-65247                             27
074                  RGZ-73449                             56
075                  BMN-57337                             88
076                  NXD-76943                            188
077                  ANR-65636                            173
078                  WBB-69295                             59
079                  HVX-35287                             52
080                  XRT-73276                             64
081                  KDV-97563                             77
082                  YMA-56284                             60
083                  EFG-46945                             49
084                  HVX-35287                             79
085                  FNL-93857                             48
086                  VXR-68924                             80
087                  KLA-57296                            126
088                  GMS-89977                            101
089                  VJN-37687                            103
090                  BTG-65524                             24
091                  FTD-84699                             91
092                  NWL-28282                            100
093                  TNG-52497                            191
094                  RGZ-73449                            117
095                  PNF-53949                             16
096                  NMA-58554                             99
097                  XRT-73276                             98
098                  JVL-65247                            189
099                  TQC-49936                            196
100                  TNG-52497                            192
