User ID: 91285-61524

Trial                  Virus                             Units
---------------------------------------------------------------
001                  BTN-83953                            156
002                  RLT-57887                            132
003                  YXL-38878                            101
004                  WMD-65834                             97
005                  HVE-32966                            116
006                  FNR-28782                            129
007                  RLT-57887                            142
008                  EFG-46945                             46
009                  ZKV-31415                             69
010                  BTN-83953                             23
011                  DAU-26394                             63
012                  DHY-22445                            147
013                  LNC-68448                            131
014                  HCY-32686                             44
015                  FTD-84699                            188
016                  WMD-65834                            177
017                  FNL-93857                            162
018                  BTN-83953                              8
019                  GMS-89977                            118
020                  URL-32968                            135
021                  WBB-69295                            163
022                  HNB-76282                             26
023                  DAU-26394                             12
024                  FNR-28782                             73
025                  NVE-67597                             66
026                  LNC-68448                            117
027                  WQM-46249                              1
028                  WMD-65834                            182
029                  TXF-47848                            153
030                  TNA-63396                            191
031                  KQA-89952                             65
032                  PZV-75529                            115
033                  GMS-89977                             59
034                  TQC-49936                             77
035                  QBD-79865                            190
036                  HNB-76282                            197
037                  FNL-93857                            180
038                  NXD-76943                            184
039                  VJN-37687                            100
040                  FTD-84699                            113
041                  URL-32968                            128
042                  SPN-64546                            187
043                  GZN-34688                             49
044                  TXF-47848                             60
045                  HCY-32686                            165
046                  ANR-65636                            148
047                  WMD-65834                            189
048                  PNF-53949                            161
049                  PZV-75529                            181
050                  KLA-57296                            199
051                  VWM-74278                            112
052                  HNB-76282                             80
053                  DAU-26394                             79
054                  TRM-27792                            143
055                  HCY-32686                             61
056                  TNX-51117                            185
057                  NWL-28282                             54
058                  PZV-75529                            175
059                  WMD-65834                             14
060                  TNX-51117                             70
061                  TNA-63396                             51
062                  RLT-57887                            120
063                  TNX-51117                            141
064                  WMD-65834                            192
065                  TNA-63396                             75
066                  KLA-57296                            166
067                  DAU-26394                            173
068                  LNC-68448                            158
069                  HVE-32966                             10
070                  BTG-65524                             29
071                  YMA-56284                            126
072                  EFG-46945                             90
073                  DAU-26394                             86
074                  XBC-95594                            140
075                  SPN-64546                             33
076                  GUJ-74444                            172
077                  CDC-36833                             20
078                  NHP-43928                            186
079                  DHY-22445                             30
080                  BTG-65524                             35
081                  FNL-93857                            130
082                  GUJ-74444                            171
083                  KDV-97563                            144
084                  XRT-73276                            108
085                  ZXB-54692                             47
086                  AJA-56777                            170
087                  HKZ-33728                             32
088                  NMA-58554                            111
089                  HZF-45469                             57
090                  ZPF-96697                            168
091                  CDC-36833                             71
092                  XKG-42573                             25
093                  YXL-38878                             87
094                  TXF-47848                             93
095                  ZXB-54692                             40
096                  TXF-47848                            200
097                  CQS-93978                             88
098                  NWL-28282                             16
099                  RGZ-73449                             17
100                  PHE-99329                             45
