User ID: 84756-04819

Trial                  Virus                             Units
---------------------------------------------------------------
001                  NWL-28282                            190
002                  KMP-52243                            123
003                  PHE-99329                            178
004                  TQC-49936                             24
005                  GMS-89977                            195
006                  LWR-78574                            158
007                  ZPF-96697                             39
008                  WQM-46249                             89
009                  QBZ-39849                            186
010                  KLA-57296                             83
011                  BCU-27839                            175
012                  TXF-47848                             82
013                  JPJ-26459                            103
014                  BMN-57337                             47
015                  GMS-89977                             31
016                  TNG-52497                              7
017                  TLT-23593                            168
018                  LWR-78574                             97
019                  TQC-49936                            126
020                  LNC-68448                             94
021                  BTN-83953                             61
022                  TXF-47848                            120
023                  HVX-35287                            166
024                  PHE-99329                             87
025                  KLA-57296                            183
026                  HKZ-33728                             66
027                  TLT-23593                            162
028                  VXR-68924                            113
029                  WQM-46249                            130
030                  YMA-56284                            172
031                  HNB-76282                            105
032                  FNL-93857                             84
033                  XBC-95594                            110
034                  NVE-67597                             26
035                  TNG-52497                            127
036                  CDC-36833                            109
037                  AJA-56777                             29
038                  VWM-74278                            118
039                  GBK-45859                            153
040                  XKG-42573                            125
041                  HVE-32966                            200
042                  TNA-63396                             51
043                  HZF-45469                            171
044                  DAU-26394                            161
045                  CQS-93978                            198
046                  DAU-26394                             58
047                  XJQ-35789                             98
048                  VJN-37687                             15
049                  KQA-89952                             92
050                  KWH-94256                             44
051                  JYL-79355                            106
052                  SPN-64546                            146
053                  HVX-35287                            187
054                  PHE-99329                            101
055                  SZA-87265                             74
056                  CDC-36833                            115
057                  PHE-99329                              3
058                  VWM-74278                             54
059                  KWH-94256                            150
060                  TNG-52497                             52
061                  AAV-93236                             96
062                  KLA-57296                             40
063                  PQJ-67335                            176
064                  BCU-27839                             28
065                  CCG-95482                            145
066                  JPJ-26459                            144
067                  XKG-42573                            160
068                  EPX-87469                            108
069                  WMD-65834                             25
070                  WQM-46249                            152
071                  VWM-74278                             60
072                  VJN-37687                            137
073                  WBB-69295                            147
074                  EPX-87469                             22
075                  NVE-67597                            140
076                  NMA-58554                            174
077                  KMP-52243                             59
078                  VJN-37687                             19
079                  SZA-87265                            170
080                  XKG-42573                              2
081                  NMA-58554                             48
082                  BMN-57337                             43
083                  HKZ-33728                            164
084                  HNB-76282                             63
085                  YBD-67688                            182
086                  CCG-95482                            188
087                  NWL-28282                              9
088                  HVE-32966                            116
089                  PNF-53949                             72
090                  NHP-43928                             62
091                  PZV-75529                             76
092                  FYK-67999                            155
093                  JPJ-26459                            156
094                  PQJ-67335                             71
095                  GUJ-74444                             14
096                  BTG-65524                             86
097                  TQC-49936                             99
098                  RGZ-73449                            181
099                  JYL-79355                             12
100                  KWH-94256                             68
