User ID: 68186-76013

Trial                  Virus                             Units
---------------------------------------------------------------
001                  RGZ-73449                             33
002                  QBZ-39849                             45
003                  LWR-78574                             13
004                  ZXB-54692                            179
005                  WBB-69295                             62
006                  QBZ-39849                             43
007                  PNF-53949                             90
008                  LZL-53762                            170
009                  EPX-87469                            196
010                  TRM-27792                             59
011                  DHY-22445                            111
012                  YLW-92835                            149
013                  AAV-93236                            197
014                  NXD-76943                             18
015                  NXD-76943                            133
016                  TNG-52497                            174
017                  LWR-78574                            163
018                  DAU-26394                            173
019                  QBD-79865                              2
020                  EPX-87469                            151
021                  BCU-27839                            148
022                  BTN-83953                            176
023                  RGZ-73449                            136
024                  ZPF-96697                            103
025                  ZKV-31415                            131
026                  SPN-64546                            162
027                  YMA-56284                            100
028                  GBK-45859                             11
029                  DAU-26394                             79
030                  KQA-89952                            181
031                  JPJ-26459                             75
032                  CQS-93978                             41
033                  NMA-58554                            200
034                  ZPF-96697                             60
035                  ZHA-83572                            152
036                  ZPF-96697                             85
037                  XRT-73276                             89
038                  GBK-45859                             46
039                  KDV-97563                             24
040                  FTD-84699                             52
041                  YBD-67688                              5
042                  GMS-89977                             28
043                  PNF-53949                            116
044                  CQS-93978                             76
045                  HKZ-33728                            107
046                  WQB-83823                            141
047                  KMP-52243                            156
048                  WMD-65834                            108
049                  KWH-94256                            130
050                  XKG-42573                             67
051                  PNF-53949                             39
052                  WBB-69295                             16
053                  GUJ-74444                             99
054                  XRT-73276                             22
055                  WQM-46249                             93
056                  BTN-83953                             61
057                  KQA-89952                             58
058                  BCU-27839                              3
059                  CQS-93978                             12
060                  WQB-83823                            120
061                  JPJ-26459                             86
062                  PQJ-67335                             26
063                  NWL-28282                            150
064                  PHE-99329                            114
065                  YLW-92835                             77
066                  GUJ-74444                             29
067                  RGZ-73449                            192
068                  CDC-36833                            160
069                  CPU-63784                             30
070                  PNF-53949                            129
071                  BMN-57337                             47
072                  BTG-65524                             31
073                  LWR-78574                            172
074                  VWM-74278                            154
075                  HVX-35287                            125
076                  RLT-57887                            178
077                  JVL-65247                            180
078                  TRM-27792                            104
079                  YMA-56284                             82
080                  HKZ-33728                            157
081                  TXF-47848                            189
082                  GUJ-74444                            145
083                  BMN-57337                            184
084                  AAV-93236                             91
085                  URL-32968                             56
086                  AJA-56777                            139
087                  TNX-51117                            175
088                  JYL-79355                             92
089                  GUJ-74444                             71
090                  PHE-99329                              7
091                  WBB-69295                             97
092                  LZL-53762                             65
093                  BCU-27839                            123
094                  DHY-22445                             72
095                  JVL-65247                            118
096                  TNG-52497                            117
097                  FTD-84699                            183
098                  JYL-79355                             34
099                  DHY-22445                             48
100                  YXL-38878                            155
