User ID: 80997-59183

Trial                  Virus                             Units
---------------------------------------------------------------
001                  VJN-37687                            118
002                  TXF-47848                            157
003                  LWR-78574                             49
004                  SPN-64546                            109
005                  NWL-28282                             26
006                  ZKV-31415                             18
007                  AJA-56777                              4
008                  VXR-68924                             25
009                  YXL-38878                            189
010                  ANR-65636                            193
011                  LNC-68448                             47
012                  GBK-45859                             93
013                  XKG-42573                             32
014                  LWR-78574                             65
015                  HNB-76282                             74
016                  VWM-74278                            117
017                  TXF-47848                             97
018                  VXR-68924                            191
019                  FNL-93857                              7
020                  FYK-67999                            168
021                  XBC-95594                             35
022                  VWM-74278                             37
023                  JYL-79355                             17
024                  PQJ-67335                            179
025                  QBZ-39849                            145
026                  TLT-23593                             30
027                  AAV-93236                            135
028                  TXF-47848                             19
029                  FNR-28782                            138
030                  KWH-94256                            190
031                  AAV-93236                             81
032                  ZHA-83572                             77
033                  WQB-83823                            133
034                  ZHA-83572                            165
035                  EFG-46945                             27
036                  BMN-57337                            156
037                  YBD-67688                            105
038                  HVE-32966                             84
039                  PNF-53949                            127
040                  XJQ-35789                            115
041                  WQM-46249                            124
042                  VWM-74278                             22
043                  URL-32968                             43
044                  HVX-35287                             64
045                  GUJ-74444                            123
046                  PHE-99329                             83
047                  YBD-67688                            141
048                  ANR-65636                            160
049                  GMS-89977                            113
050                  LNC-68448                             56
051                  JPJ-26459                             29
052                  GUJ-74444                              8
053                  VXR-68924                            148
054                  WQB-83823                             23
055                  HVE-32966                            152
056                  FTD-84699                            173
057                  SPN-64546                             69
058                  XRT-73276                            119
059                  LZL-53762                             91
060                  CPU-63784                            177
061                  BCU-27839                            155
062                  DHY-22445                             33
063                  URL-32968                            164
064                  LNC-68448                             28
065                  PHE-99329                             57
066                  TRM-27792                             99
067                  CQS-93978                            187
068                  GZN-34688                             78
069                  KMP-52243                            167
070                  XRT-73276                              6
071                  TNG-52497                            122
072                  FNR-28782                            103
073                  GZN-34688                             88
074                  DHY-22445                            144
075                  GBK-45859                             67
076                  PQJ-67335                             42
077                  DHY-22445                             62
078                  TXF-47848                             34
079                  NHP-43928                            166
080                  WQB-83823                            116
081                  TLT-23593                            143
082                  ZXB-54692                             21
083                  HVX-35287                             10
084                  YBD-67688                             96
085                  URL-32968                             38
086                  EFG-46945                            112
087                  URL-32968                            199
088                  KWH-94256                             95
089                  CPU-63784                            172
090                  ANR-65636                             70
091                  VXR-68924                            131
092                  DAU-26394                            182
093                  AJA-56777                             79
094                  TNA-63396                            120
095                  HKZ-33728                             51
096                  ZXB-54692                             55
097                  WQM-46249                            129
098                  LZL-53762                            107
099                  HNB-76282                            101
100                  CCG-95482                             36
