User ID: 44577-99899

Trial                  Virus                             Units
---------------------------------------------------------------
001                  URL-32968                             50
002                  NXD-76943                             39
003                  PWT-38779                             41
004                  FYK-67999                             94
005                  HKZ-33728                            129
006                  LNC-68448                             84
007                  HVE-32966                            121
008                  AAV-93236                            151
009                  WQM-46249                             21
010                  BTG-65524                             95
011                  ANR-65636                            106
012                  XBC-95594                              4
013                  ZXB-54692                            115
014                  AAV-93236                            134
015                  HKZ-33728                             45
016                  QBZ-39849                             58
017                  YMA-56284                             11
018                  HKZ-33728                             99
019                  YLW-92835                            125
020                  AJA-56777                            195
021                  EPX-87469                            157
022                  VXR-68924                            146
023                  QBZ-39849                            176
024                  KWH-94256                            178
025                  QBD-79865                              5
026                  VXR-68924                              8
027                  QBD-79865                            179
028                  HKZ-33728                            108
029                  JYL-79355                            131
030                  FTD-84699                            142
031                  HZF-45469                             68
032                  ZPF-96697                             52
033                  CPU-63784                            191
034                  BMN-57337                            172
035                  QBD-79865                            163
036                  LZL-53762                            104
037                  HVE-32966                             98
038                  YXL-38878                             31
039                  BMN-57337                            133
040                  EFG-46945                            138
041                  ZXB-54692                            158
042                  YLW-92835                             47
043                  YMA-56284                            119
044                  AAV-93236                            161
045                  DHY-22445                            168
046                  RGZ-73449                            154
047                  EFG-46945                            182
048                  HZF-45469                             87
049                  TNA-63396                             46
050                  AJA-56777                              9
051                  JPJ-26459                             30
052                  NXD-76943                             49
053                  WQB-83823                            141
054                  CCG-95482                             96
055                  TNA-63396                            128
056                  LNC-68448                            143
057                  BCU-27839                             32
058                  FNL-93857                            126
059                  BTN-83953                             72
060                  JPJ-26459                             92
061                  URL-32968                            200
062                  TXF-47848                             10
063                  XJQ-35789                            180
064                  BMN-57337                            149
065                  WMD-65834                            188
066                  EPX-87469                            192
067                  NMA-58554                            187
068                  FYK-67999                             63
069                  LWR-78574                            185
070                  URL-32968                             12
071                  WBB-69295                             36
072                  YMA-56284                             59
073                  KLA-57296                             56
074                  CCG-95482                            186
075                  TXF-47848                            155
076                  SPN-64546                            174
077                  GZN-34688                             34
078                  ZPF-96697                             53
079                  ANR-65636                            139
080                  NWL-28282                             44
081                  XRT-73276                             54
082                  LZL-53762                             90
083                  HVE-32966                             77
084                  GMS-89977                             66
085                  BTG-65524                            170
086                  BTN-83953                            153
087                  AJA-56777                            120
088                  PWT-38779                            169
089                  JVL-65247                             20
090                  XJQ-35789                            181
091                  PNF-53949                             65
092                  PHE-99329                             80
093                  LNC-68448                             83
094                  TXF-47848                            112
095                  AJA-56777                            190
096                  GZN-34688                            117
097                  FYK-67999                             51
098                  EFG-46945                            159
099                  URL-32968                            135
100                  XKG-42573                            197
