User ID: 90411-88509

Trial                  Virus                             Units
---------------------------------------------------------------
001                  TQC-49936                            121
002                  XRT-73276                             55
003                  FNL-93857                             81
004                  YXL-38878                            126
005                  NVE-67597                            198
006                  ZHA-83572                             83
007                  HKZ-33728                            181
008                  RLT-57887                            168
009                  YBD-67688                             69
010                  TQC-49936                            153
011                  CQS-93978                            177
012                  NMA-58554                             63
013                  LWR-78574                             21
014                  NVE-67597                             28
015                  TNX-51117                            117
016                  CQS-93978                            180
017                  KQA-89952                            171
018                  PQJ-67335                            146
019                  XBC-95594                             99
020                  HVE-32966                             38
021                  NHP-43928                            135
022                  TRM-27792                             44
023                  BTN-83953                            170
024                  AAV-93236                             31
025                  TNX-51117                             22
026                  TNA-63396                            123
027                  HCY-32686                            144
028                  TLT-23593                            176
029                  NVE-67597                            189
030                  AJA-56777                             88
031                  GBK-45859                            185
032                  NXD-76943                             77
033                  KQA-89952                            187
034                  CPU-63784                            150
035                  YBD-67688                             43
036                  ZXB-54692                            118
037                  HCY-32686                            186
038                  VWM-74278                            145
039                  ANR-65636                            141
040                  NMA-58554                             91
041                  FYK-67999                             32
042                  ZPF-96697                            154
043                  HZF-45469                            107
044                  NXD-76943                            151
045                  XJQ-35789                             18
046                  LNC-68448                            112
047                  JYL-79355                            115
048                  CCG-95482                             11
049                  ANR-65636                             75
050                  NMA-58554                            125
051                  WMD-65834                            194
052                  NVE-67597                             57
053                  DHY-22445                             74
054                  URL-32968                             78
055                  TXF-47848                             46
056                  KWH-94256                            163
057                  PQJ-67335                            127
058                  TNG-52497                             76
059                  RLT-57887                             19
060                  TNG-52497                            108
061                  KWH-94256                             12
062                  WQB-83823                             41
063                  QBD-79865                            160
064                  ZKV-31415                             92
065                  FTD-84699                             65
066                  FTD-84699                            193
067                  KLA-57296                            200
068                  PWT-38779                             85
069                  BMN-57337                             79
070                  RLT-57887                             67
071                  BTN-83953                            175
072                  WMD-65834                             93
073                  WBB-69295                             98
074                  TNG-52497                              2
075                  PWT-38779                            174
076                  DAU-26394                             53
077                  ZPF-96697                            129
078                  ZXB-54692                            169
079                  FTD-84699                             87
080                  EPX-87469                            132
081                  ZPF-96697                             30
082                  ZPF-96697                              5
083                  SPN-64546                             26
084                  PQJ-67335                            131
085                  BMN-57337                             48
086                  EFG-46945                            104
087                  PQJ-67335                             95
088                  TNA-63396                            184
089                  QBZ-39849                             39
090                  AJA-56777                            120
091                  JVL-65247                             68
092                  GZN-34688                             60
093                  SPN-64546                             84
094                  KLA-57296                             37
095                  HZF-45469                            196
096                  TRM-27792                            156
097                  JPJ-26459                             56
098                  WMD-65834                             14
099                  FNR-28782                            140
100                  TNG-52497                             40
