User ID: 07958-57397

Trial                  Virus                             Units
---------------------------------------------------------------
001                  EPX-87469                            111
002                  GZN-34688                            123
003                  NXD-76943                            103
004                  CPU-63784                            128
005                  CPU-63784                             97
006                  EPX-87469                            139
007                  NMA-58554                             85
008                  ANR-65636                            148
009                  XJQ-35789                            160
010                  PNF-53949                            101
011                  SPN-64546                            181
012                  SPN-64546                             51
013                  VJN-37687                            186
014                  KDV-97563                            194
015                  KWH-94256                             56
016                  LWR-78574                            170
017                  FYK-67999                             77
018                  VWM-74278                             21
019                  XJQ-35789                            180
020                  BTN-83953                              6
021                  CDC-36833                            175
022                  YBD-67688                             12
023                  YMA-56284                             11
024                  QBD-79865                             89
025                  NXD-76943                            157
026                  NHP-43928                            114
027                  WMD-65834                            199
028                  SPN-64546                             27
029                  BTG-65524                             71
030                  SZA-87265                             23
031                  KWH-94256                            105
032                  HVX-35287                             74
033                  TQC-49936                              4
034                  HZF-45469                            134
035                  CPU-63784                             44
036                  HVX-35287                             81
037                  FYK-67999                            195
038                  PWT-38779                              1
039                  NMA-58554                            143
040                  JYL-79355                            137
041                  JVL-65247                             86
042                  PHE-99329                             30
043                  PQJ-67335                            185
044                  RGZ-73449                            159
045                  KQA-89952                              2
046                  HZF-45469                             25
047                  YBD-67688                              7
048                  NVE-67597                            107
049                  TXF-47848                            184
050                  TNX-51117                            154
051                  TNA-63396                             47
052                  HKZ-33728                             61
053                  KWH-94256                            165
054                  QBD-79865                            171
055                  TNA-63396                            132
056                  KMP-52243                             99
057                  LWR-78574                            108
058                  TLT-23593                            138
059                  JPJ-26459                            109
060                  WQB-83823                             16
061                  HZF-45469                             68
062                  URL-32968                             70
063                  WBB-69295                            113
064                  SPN-64546                            126
065                  EPX-87469                             29
066                  TNX-51117                             22
067                  HCY-32686                             83
068                  CCG-95482                            196
069                  ANR-65636                             41
070                  VXR-68924                            110
071                  ANR-65636                            116
072                  XRT-73276                            100
073                  AJA-56777                            200
074                  XKG-42573                             54
075                  RGZ-73449                              5
076                  FTD-84699                            124
077                  BMN-57337                            174
078                  LZL-53762                            125
079                  AJA-56777                             45
080                  PWT-38779                            144
081                  KQA-89952                             20
082                  PHE-99329                            183
083                  XRT-73276                             17
084                  BTN-83953                            197
085                  CCG-95482                             42
086                  LWR-78574                             93
087                  ZXB-54692                            187
088                  SZA-87265                             66
089                  PZV-75529                            166
090                  DAU-26394                             98
091                  RGZ-73449                            135
092                  CPU-63784                             84
093                  HVE-32966                            106
094                  ZKV-31415                            173
095                  FNR-28782                            172
096                  VXR-68924                             79
097                  KWH-94256                             14
098                  XBC-95594                             15
099                  PHE-99329                             10
100                  BCU-27839                            149
