User ID: 80997-59183

Trial                  Virus                             Units
---------------------------------------------------------------
001                  PNF-53949                            145
002                  SPN-64546                             44
003                  JPJ-26459                             93
004                  AAV-93236                             15
005                  YBD-67688                            144
006                  WBB-69295                              8
007                  NXD-76943                             65
008                  WBB-69295                             69
009                  GBK-45859                            169
010                  RLT-57887                             99
011                  TNG-52497                            174
012                  HKZ-33728                            184
013                  VJN-37687                            190
014                  VJN-37687                            189
015                  TLT-23593                             85
016                  GZN-34688                            188
017                  VJN-37687                             43
018                  LNC-68448                            186
019                  TLT-23593                            126
020                  WMD-65834                            113
021                  YLW-92835                             73
022                  VJN-37687                             27
023                  KLA-57296                             62
024                  TNA-63396                            171
025                  RLT-57887                            123
026                  HCY-32686                             17
027                  TNX-51117                            191
028                  WBB-69295                            138
029                  CCG-95482                             83
030                  AJA-56777                             57
031                  CDC-36833                             50
032                  PQJ-67335                             91
033                  FTD-84699                            137
034                  VXR-68924                            155
035                  VJN-37687                            109
036                  SPN-64546                            195
037                  FTD-84699                            102
038                  RLT-57887                            168
039                  RGZ-73449                             76
040                  YLW-92835                            151
041                  QBD-79865                             58
042                  BTN-83953                             78
043                  URL-32968                            159
044                  HKZ-33728                            152
045                  BCU-27839                             75
046                  TLT-23593                             86
047                  TNX-51117                             71
048                  VWM-74278                            135
049                  FTD-84699                             13
050                  AAV-93236                            179
051                  PZV-75529                             37
052                  CCG-95482                              7
053                  JPJ-26459                            172
054                  FNR-28782                            124
055                  AJA-56777                             55
056                  CQS-93978                             82
057                  KWH-94256                              2
058                  NWL-28282                             33
059                  TQC-49936                            175
060                  KLA-57296                              6
061                  TRM-27792                             92
062                  NHP-43928                             22
063                  DHY-22445                            141
064                  JYL-79355                             12
065                  TNG-52497                             87
066                  PQJ-67335                             68
067                  JPJ-26459                             81
068                  ZKV-31415                             45
069                  YMA-56284                             61
070                  QBZ-39849                            197
071                  EPX-87469                             98
072                  PNF-53949                             60
073                  AJA-56777                            192
074                  YBD-67688                             97
075                  BTG-65524                             32
076                  FNR-28782                            163
077                  WBB-69295                             77
078                  CPU-63784                            116
079                  KWH-94256                            136
080                  KQA-89952                             80
081                  FTD-84699                            162
082                  TNG-52497                              4
083                  YMA-56284                            100
084                  YLW-92835                            114
085                  EPX-87469                            125
086                  EFG-46945                            107
087                  GMS-89977                             95
088                  TQC-49936                              9
089                  WBB-69295                            132
090                  PHE-99329                             19
091                  WQB-83823                            149
092                  ANR-65636                             96
093                  ZXB-54692                             79
094                  ANR-65636                            187
095                  LNC-68448                             56
096                  PNF-53949                             72
097                  XRT-73276                             42
098                  ANR-65636                            173
099                  EFG-46945                            105
100                  JYL-79355                            139
