User ID: 76394-56172

Trial                  Virus                             Units
---------------------------------------------------------------
001                  NMA-58554                              5
002                  BMN-57337                            112
003                  PWT-38779                            124
004                  HVE-32966                            164
005                  WBB-69295                            106
006                  RGZ-73449                            199
007                  NMA-58554                            185
008                  NHP-43928                            169
009                  FYK-67999                             11
010                  CDC-36833                            189
011                  CCG-95482                             80
012                  AJA-56777                             46
013                  HCY-32686                             31
014                  CCG-95482                            101
015                  DAU-26394                            176
016                  QBD-79865                             68
017                  KQA-89952                            192
018                  FYK-67999                             51
019                  EFG-46945                            178
020                  NHP-43928                             91
021                  BMN-57337                             87
022                  CPU-63784                            198
023                  TQC-49936                             88
024                  PQJ-67335                             19
025                  AJA-56777                             99
026                  EPX-87469                            127
027                  XBC-95594                            197
028                  TNX-51117                             57
029                  NHP-43928                            110
030                  NVE-67597                             60
031                  RLT-57887                             98
032                  TLT-23593                            168
033                  WMD-65834                            113
034                  JPJ-26459                             40
035                  PNF-53949                             25
036                  VJN-37687                            155
037                  FNR-28782                             12
038                  WMD-65834                            184
039                  XJQ-35789                            148
040                  PWT-38779                             55
041                  RGZ-73449                              6
042                  CDC-36833                            194
043                  HNB-76282                             42
044                  VWM-74278                            171
045                  TXF-47848                             21
046                  NVE-67597                            191
047                  HCY-32686                            139
048                  TNX-51117                             64
049                  KWH-94256                             20
050                  ZKV-31415                             47
051                  KLA-57296                            140
052                  NVE-67597                             29
053                  ANR-65636                             82
054                  KMP-52243                             75
055                  LNC-68448                            141
056                  TNA-63396                            153
057                  WBB-69295                             62
058                  HCY-32686                             52
059                  YMA-56284                             32
060                  CDC-36833                            183
061                  HVE-32966                            167
062                  FNR-28782                            163
063                  WBB-69295                            181
064                  ZHA-83572                             49
065                  NHP-43928                            159
066                  WBB-69295                            143
067                  CQS-93978                            186
068                  WQB-83823                             44
069                  XKG-42573                             37
070                  DHY-22445                             96
071                  XRT-73276                            129
072                  TNX-51117                             27
073                  WMD-65834                             34
074                  VXR-68924                             72
075                  RLT-57887                            108
076                  VXR-68924                            195
077                  ZPF-96697                            105
078                  CPU-63784                             90
079                  FNR-28782                            107
080                  WMD-65834                            131
081                  VWM-74278                            177
082                  NWL-28282                             95
083                  ZPF-96697                            144
084                  HNB-76282                             76
085                  BTG-65524                             24
086                  NVE-67597                             14
087                  SZA-87265                             70
088                  JYL-79355                             41
089                  RLT-57887                             73
090                  TQC-49936                             13
091                  JPJ-26459                            122
092                  TNX-51117                             66
093                  TQC-49936                            137
094                  HVX-35287                            100
095                  XJQ-35789                             45
096                  QBD-79865                            102
097                  WBB-69295                              1
098                  WMD-65834                            170
099                  YMA-56284                              8
100                  GMS-89977                            152
